[INFO] BRISK on CPU
elapsed time: 0.10547; featured found: 696; features tracked: 0
elapsed time: 0.0896204; featured found: 688; features tracked: 356
elapsed time: 0.0837576; featured found: 588; features tracked: 335
elapsed time: 0.120991; featured found: 694; features tracked: 306
elapsed time: 0.0879884; featured found: 624; features tracked: 322
elapsed time: 0.098584; featured found: 642; features tracked: 346
elapsed time: 0.0910883; featured found: 742; features tracked: 308
elapsed time: 0.0884171; featured found: 769; features tracked: 392
elapsed time: 0.0896567; featured found: 726; features tracked: 393
elapsed time: 0.0923647; featured found: 640; features tracked: 365
elapsed time: 0.0848134; featured found: 573; features tracked: 344
elapsed time: 0.0855901; featured found: 571; features tracked: 348
elapsed time: 0.0854336; featured found: 679; features tracked: 320
elapsed time: 0.105198; featured found: 726; features tracked: 370
elapsed time: 0.0870759; featured found: 753; features tracked: 424
elapsed time: 0.0913803; featured found: 700; features tracked: 415
elapsed time: 0.0866411; featured found: 644; features tracked: 370
elapsed time: 0.0847735; featured found: 586; features tracked: 349
elapsed time: 0.0834517; featured found: 457; features tracked: 275
elapsed time: 0.0806728; featured found: 442; features tracked: 259
elapsed time: 0.0880996; featured found: 584; features tracked: 240
elapsed time: 0.0859081; featured found: 751; features tracked: 333
elapsed time: 0.0961382; featured found: 703; features tracked: 430
elapsed time: 0.0837435; featured found: 546; features tracked: 316
elapsed time: 0.0860768; featured found: 715; features tracked: 309
elapsed time: 0.0883905; featured found: 717; features tracked: 400
elapsed time: 0.0853521; featured found: 765; features tracked: 402
elapsed time: 0.0912069; featured found: 723; features tracked: 469
elapsed time: 0.0866394; featured found: 640; features tracked: 329
elapsed time: 0.085468; featured found: 649; features tracked: 351
elapsed time: 0.0844928; featured found: 679; features tracked: 335
elapsed time: 0.0859958; featured found: 532; features tracked: 287
elapsed time: 0.0859362; featured found: 574; features tracked: 314
elapsed time: 0.0888556; featured found: 648; features tracked: 356
elapsed time: 0.0857902; featured found: 756; features tracked: 391
elapsed time: 0.0881088; featured found: 773; features tracked: 453
elapsed time: 0.0892474; featured found: 785; features tracked: 464
elapsed time: 0.0865057; featured found: 705; features tracked: 483
elapsed time: 0.104148; featured found: 622; features tracked: 365
elapsed time: 0.0836711; featured found: 684; features tracked: 375
elapsed time: 0.0842958; featured found: 703; features tracked: 438
elapsed time: 0.0838578; featured found: 591; features tracked: 302
elapsed time: 0.0837597; featured found: 515; features tracked: 323
elapsed time: 0.0917812; featured found: 768; features tracked: 236
elapsed time: 0.0864163; featured found: 743; features tracked: 425
elapsed time: 0.0848321; featured found: 552; features tracked: 338
elapsed time: 0.0860689; featured found: 531; features tracked: 288
elapsed time: 0.0888158; featured found: 786; features tracked: 280
elapsed time: 0.0862284; featured found: 787; features tracked: 463
elapsed time: 0.08991; featured found: 786; features tracked: 478
elapsed time: 0.0882137; featured found: 784; features tracked: 464
elapsed time: 0.087742; featured found: 776; features tracked: 465
elapsed time: 0.095336; featured found: 760; features tracked: 453
elapsed time: 0.0872003; featured found: 757; features tracked: 462
elapsed time: 0.0851126; featured found: 772; features tracked: 434
elapsed time: 0.0849534; featured found: 791; features tracked: 487
elapsed time: 0.0859335; featured found: 759; features tracked: 475
elapsed time: 0.0942399; featured found: 800; features tracked: 410
elapsed time: 0.0875858; featured found: 810; features tracked: 480
elapsed time: 0.0952944; featured found: 814; features tracked: 476
elapsed time: 0.0953949; featured found: 813; features tracked: 499
elapsed time: 0.0858536; featured found: 856; features tracked: 504
elapsed time: 0.0864349; featured found: 842; features tracked: 488
elapsed time: 0.0900618; featured found: 822; features tracked: 500
elapsed time: 0.0862378; featured found: 800; features tracked: 434
elapsed time: 0.0846019; featured found: 735; features tracked: 395
elapsed time: 0.0867737; featured found: 693; features tracked: 372
elapsed time: 0.0842293; featured found: 724; features tracked: 371
elapsed time: 0.0853483; featured found: 766; features tracked: 398
elapsed time: 0.0881872; featured found: 727; features tracked: 471
elapsed time: 0.0874808; featured found: 742; features tracked: 421
elapsed time: 0.0857308; featured found: 754; features tracked: 438
elapsed time: 0.0874571; featured found: 784; features tracked: 454
elapsed time: 0.0895534; featured found: 773; features tracked: 462
elapsed time: 0.0905462; featured found: 809; features tracked: 495
elapsed time: 0.0910002; featured found: 791; features tracked: 456
elapsed time: 0.0912667; featured found: 780; features tracked: 501
elapsed time: 0.0996911; featured found: 782; features tracked: 489
elapsed time: 0.0889223; featured found: 824; features tracked: 445
elapsed time: 0.0882655; featured found: 806; features tracked: 511
elapsed time: 0.0891982; featured found: 848; features tracked: 467
elapsed time: 0.0934228; featured found: 842; features tracked: 526
elapsed time: 0.0865435; featured found: 831; features tracked: 513
elapsed time: 0.0898312; featured found: 832; features tracked: 503
elapsed time: 0.0870478; featured found: 800; features tracked: 504
elapsed time: 0.0930865; featured found: 764; features tracked: 457
elapsed time: 0.091346; featured found: 762; features tracked: 408
elapsed time: 0.0943449; featured found: 770; features tracked: 425
elapsed time: 0.0892098; featured found: 716; features tracked: 426
elapsed time: 0.0883777; featured found: 797; features tracked: 405
elapsed time: 0.0938977; featured found: 798; features tracked: 442
elapsed time: 0.091272; featured found: 742; features tracked: 450
elapsed time: 0.0980141; featured found: 862; features tracked: 429
elapsed time: 0.0921693; featured found: 805; features tracked: 487
elapsed time: 0.0876942; featured found: 807; features tracked: 497
elapsed time: 0.0900126; featured found: 781; features tracked: 449
elapsed time: 0.0915862; featured found: 816; features tracked: 478
elapsed time: 0.106657; featured found: 799; features tracked: 491
elapsed time: 0.0930345; featured found: 771; features tracked: 467
elapsed time: 0.0911364; featured found: 732; features tracked: 451
elapsed time: 0.0897056; featured found: 737; features tracked: 403
elapsed time: 0.0835051; featured found: 723; features tracked: 403
elapsed time: 0.0913492; featured found: 767; features tracked: 422
elapsed time: 0.0965574; featured found: 803; features tracked: 435
elapsed time: 0.0930546; featured found: 823; features tracked: 519
elapsed time: 0.0937747; featured found: 783; features tracked: 520
elapsed time: 0.0893517; featured found: 698; features tracked: 398
elapsed time: 0.0898603; featured found: 707; features tracked: 410
elapsed time: 0.0908422; featured found: 820; features tracked: 392
elapsed time: 0.0928721; featured found: 791; features tracked: 510
elapsed time: 0.0905993; featured found: 720; features tracked: 445
elapsed time: 0.0994711; featured found: 708; features tracked: 416
elapsed time: 0.0909114; featured found: 741; features tracked: 449
elapsed time: 0.103154; featured found: 742; features tracked: 431
elapsed time: 0.091943; featured found: 729; features tracked: 466
elapsed time: 0.0881516; featured found: 855; features tracked: 482
