[INFO] ORB on CPU
elapsed time: 0.283434; featured found: 30; features tracked: 16
elapsed time: 0.239289; featured found: 30; features tracked: 15
elapsed time: 0.243931; featured found: 30; features tracked: 17
elapsed time: 0.238151; featured found: 30; features tracked: 17
elapsed time: 0.231319; featured found: 30; features tracked: 15
elapsed time: 0.253451; featured found: 30; features tracked: 6
elapsed time: 0.24894; featured found: 30; features tracked: 18
elapsed time: 0.2405; featured found: 30; features tracked: 11
elapsed time: 0.226572; featured found: 30; features tracked: 14
elapsed time: 0.21907; featured found: 30; features tracked: 14
elapsed time: 0.237872; featured found: 30; features tracked: 21
elapsed time: 0.229126; featured found: 30; features tracked: 15
elapsed time: 0.241727; featured found: 30; features tracked: 16
elapsed time: 0.243255; featured found: 30; features tracked: 23
elapsed time: 0.243135; featured found: 30; features tracked: 13
elapsed time: 0.230968; featured found: 30; features tracked: 18
elapsed time: 0.229116; featured found: 30; features tracked: 12
elapsed time: 0.214423; featured found: 30; features tracked: 14
elapsed time: 0.210844; featured found: 30; features tracked: 22
elapsed time: 0.220228; featured found: 30; features tracked: 15
elapsed time: 0.243975; featured found: 30; features tracked: 16
elapsed time: 0.247216; featured found: 30; features tracked: 16
elapsed time: 0.234329; featured found: 30; features tracked: 16
elapsed time: 0.243262; featured found: 30; features tracked: 18
elapsed time: 0.250898; featured found: 30; features tracked: 18
elapsed time: 0.240814; featured found: 30; features tracked: 12
elapsed time: 0.246845; featured found: 30; features tracked: 16
elapsed time: 0.251362; featured found: 30; features tracked: 6
elapsed time: 0.237185; featured found: 30; features tracked: 13
elapsed time: 0.224706; featured found: 30; features tracked: 11
elapsed time: 0.20692; featured found: 30; features tracked: 12
elapsed time: 0.215027; featured found: 30; features tracked: 19
elapsed time: 0.226521; featured found: 30; features tracked: 18
elapsed time: 0.244765; featured found: 30; features tracked: 15
elapsed time: 0.250596; featured found: 30; features tracked: 21
elapsed time: 0.243282; featured found: 30; features tracked: 15
elapsed time: 0.222546; featured found: 30; features tracked: 25
elapsed time: 0.208683; featured found: 30; features tracked: 16
elapsed time: 0.223446; featured found: 30; features tracked: 12
elapsed time: 0.223299; featured found: 30; features tracked: 17
elapsed time: 0.223652; featured found: 30; features tracked: 5
elapsed time: 0.226284; featured found: 30; features tracked: 14
elapsed time: 0.229558; featured found: 30; features tracked: 12
elapsed time: 0.226504; featured found: 30; features tracked: 18
elapsed time: 0.203743; featured found: 30; features tracked: 11
elapsed time: 0.19987; featured found: 30; features tracked: 16
elapsed time: 0.22127; featured found: 30; features tracked: 14
elapsed time: 0.227631; featured found: 30; features tracked: 18
elapsed time: 0.224759; featured found: 30; features tracked: 22
elapsed time: 0.228336; featured found: 30; features tracked: 16
elapsed time: 0.23355; featured found: 30; features tracked: 17
elapsed time: 0.230191; featured found: 30; features tracked: 17
elapsed time: 0.233324; featured found: 30; features tracked: 19
elapsed time: 0.229588; featured found: 30; features tracked: 16
elapsed time: 0.220464; featured found: 30; features tracked: 19
elapsed time: 0.227055; featured found: 30; features tracked: 18
elapsed time: 0.221861; featured found: 30; features tracked: 20
elapsed time: 0.231368; featured found: 30; features tracked: 21
elapsed time: 0.232471; featured found: 30; features tracked: 21
elapsed time: 0.23053; featured found: 30; features tracked: 14
elapsed time: 0.233237; featured found: 30; features tracked: 17
elapsed time: 0.229448; featured found: 30; features tracked: 20
elapsed time: 0.237755; featured found: 30; features tracked: 16
elapsed time: 0.234106; featured found: 30; features tracked: 13
elapsed time: 0.234502; featured found: 30; features tracked: 14
elapsed time: 0.235851; featured found: 30; features tracked: 15
elapsed time: 0.233545; featured found: 30; features tracked: 14
elapsed time: 0.227998; featured found: 30; features tracked: 17
elapsed time: 0.224125; featured found: 30; features tracked: 14
elapsed time: 0.219827; featured found: 30; features tracked: 21
elapsed time: 0.224339; featured found: 30; features tracked: 20
elapsed time: 0.229382; featured found: 30; features tracked: 17
elapsed time: 0.232669; featured found: 30; features tracked: 16
elapsed time: 0.233723; featured found: 30; features tracked: 19
elapsed time: 0.230516; featured found: 30; features tracked: 11
elapsed time: 0.228823; featured found: 30; features tracked: 15
elapsed time: 0.230716; featured found: 30; features tracked: 17
elapsed time: 0.238348; featured found: 30; features tracked: 19
elapsed time: 0.229875; featured found: 30; features tracked: 17
elapsed time: 0.236858; featured found: 30; features tracked: 14
elapsed time: 0.233892; featured found: 30; features tracked: 18
elapsed time: 0.231901; featured found: 30; features tracked: 16
elapsed time: 0.223686; featured found: 30; features tracked: 15
elapsed time: 0.243269; featured found: 30; features tracked: 19
elapsed time: 0.240314; featured found: 30; features tracked: 18
elapsed time: 0.246015; featured found: 30; features tracked: 14
elapsed time: 0.260082; featured found: 30; features tracked: 10
elapsed time: 0.219287; featured found: 30; features tracked: 11
elapsed time: 0.233923; featured found: 30; features tracked: 7
elapsed time: 0.235946; featured found: 30; features tracked: 14
elapsed time: 0.22309; featured found: 30; features tracked: 22
elapsed time: 0.242158; featured found: 30; features tracked: 13
elapsed time: 0.249746; featured found: 30; features tracked: 12
elapsed time: 0.242225; featured found: 30; features tracked: 17
elapsed time: 0.2435; featured found: 30; features tracked: 15
elapsed time: 0.236357; featured found: 30; features tracked: 18
elapsed time: 0.225582; featured found: 30; features tracked: 14
elapsed time: 0.238382; featured found: 30; features tracked: 14
elapsed time: 0.241496; featured found: 30; features tracked: 10
elapsed time: 0.238331; featured found: 30; features tracked: 19
elapsed time: 0.218855; featured found: 30; features tracked: 8
elapsed time: 0.25119; featured found: 30; features tracked: 12
elapsed time: 0.228327; featured found: 30; features tracked: 18
elapsed time: 0.225231; featured found: 30; features tracked: 18
elapsed time: 0.218514; featured found: 30; features tracked: 18
elapsed time: 0.228122; featured found: 30; features tracked: 13
elapsed time: 0.239241; featured found: 30; features tracked: 14
elapsed time: 0.249956; featured found: 30; features tracked: 13
elapsed time: 0.256184; featured found: 30; features tracked: 16
elapsed time: 0.253949; featured found: 30; features tracked: 8
elapsed time: 0.254118; featured found: 30; features tracked: 12
elapsed time: 0.264902; featured found: 30; features tracked: 9
elapsed time: 0.242585; featured found: 30; features tracked: 15
elapsed time: 0.242147; featured found: 30; features tracked: 15
elapsed time: 0.262974; featured found: 30; features tracked: 17
elapsed time: 0.254596; featured found: 30; features tracked: 16
elapsed time: 0.257618; featured found: 30; features tracked: 4
elapsed time: 0.256471; featured found: 30; features tracked: 20
elapsed time: 0.251668; featured found: 30; features tracked: 11
elapsed time: 0.251289; featured found: 30; features tracked: 14
elapsed time: 0.244179; featured found: 30; features tracked: 18
elapsed time: 0.242468; featured found: 30; features tracked: 18
elapsed time: 0.240942; featured found: 30; features tracked: 20
elapsed time: 0.255961; featured found: 30; features tracked: 10
elapsed time: 0.260391; featured found: 30; features tracked: 13
elapsed time: 0.258034; featured found: 30; features tracked: 13
elapsed time: 0.254613; featured found: 30; features tracked: 13
