[INFO] Shi-Tomasi + BRIEF on CPU
elapsed time: 0.265769; featured found: 35; features tracked: 23
elapsed time: 0.291624; featured found: 22; features tracked: 15
elapsed time: 0.268546; featured found: 25; features tracked: 12
elapsed time: 0.263845; featured found: 43; features tracked: 16
elapsed time: 0.257489; featured found: 37; features tracked: 26
elapsed time: 0.26488; featured found: 31; features tracked: 6
elapsed time: 0.258208; featured found: 34; features tracked: 19
elapsed time: 0.287309; featured found: 121; features tracked: 19
elapsed time: 0.416811; featured found: 44; features tracked: 42
elapsed time: 0.282596; featured found: 73; features tracked: 32
elapsed time: 0.288345; featured found: 74; features tracked: 55
elapsed time: 0.261102; featured found: 23; features tracked: 29
elapsed time: 0.271232; featured found: 21; features tracked: 16
elapsed time: 0.283213; featured found: 23; features tracked: 19
elapsed time: 0.258617; featured found: 19; features tracked: 13
elapsed time: 0.293792; featured found: 11; features tracked: 6
elapsed time: 0.302288; featured found: 13; features tracked: 5
elapsed time: 0.276011; featured found: 37; features tracked: 7
elapsed time: 0.255243; featured found: 13; features tracked: 14
elapsed time: 0.277657; featured found: 6; features tracked: 2
elapsed time: 0.258352; featured found: 23; features tracked: 6
elapsed time: 0.274864; featured found: 26; features tracked: 7
elapsed time: 0.25998; featured found: 42; features tracked: 11
elapsed time: 0.276146; featured found: 5; features tracked: 18
elapsed time: 0.253875; featured found: 20; features tracked: 3
elapsed time: 0.28001; featured found: 49; features tracked: 11
elapsed time: 0.256869; featured found: 40; features tracked: 35
elapsed time: 0.276325; featured found: 27; features tracked: 7
elapsed time: 0.249527; featured found: 5; features tracked: 8
elapsed time: 0.276714; featured found: 31; features tracked: 1
elapsed time: 0.260007; featured found: 38; features tracked: 9
elapsed time: 0.257819; featured found: 53; features tracked: 26
elapsed time: 0.270776; featured found: 20; features tracked: 23
elapsed time: 0.257285; featured found: 43; features tracked: 16
elapsed time: 0.278429; featured found: 12; features tracked: 22
elapsed time: 0.250895; featured found: 9; features tracked: 7
elapsed time: 0.268843; featured found: 5; features tracked: 3
elapsed time: 0.266308; featured found: 51; features tracked: 2
elapsed time: 0.256079; featured found: 21; features tracked: 20
elapsed time: 0.276186; featured found: 29; features tracked: 17
elapsed time: 0.253319; featured found: 39; features tracked: 8
elapsed time: 0.278222; featured found: 5; features tracked: 14
elapsed time: 0.254006; featured found: 67; features tracked: 1
elapsed time: 0.27531; featured found: 80; features tracked: 56
elapsed time: 0.258117; featured found: 88; features tracked: 34
elapsed time: 0.27201; featured found: 52; features tracked: 53
elapsed time: 0.279348; featured found: 39; features tracked: 19
elapsed time: 0.275079; featured found: 49; features tracked: 30
elapsed time: 0.278214; featured found: 2; features tracked: 18
elapsed time: 0.285046; featured found: 18; features tracked: 2
elapsed time: 0.277989; featured found: 66; features tracked: 18
elapsed time: 0.279828; featured found: 73; features tracked: 46
elapsed time: 0.280599; featured found: 71; features tracked: 52
elapsed time: 0.275589; featured found: 81; features tracked: 54
elapsed time: 0.283209; featured found: 63; features tracked: 62
elapsed time: 0.34524; featured found: 47; features tracked: 42
elapsed time: 0.382392; featured found: 87; features tracked: 42
elapsed time: 0.369776; featured found: 87; features tracked: 68
elapsed time: 0.425732; featured found: 82; features tracked: 68
elapsed time: 0.363437; featured found: 112; features tracked: 70
elapsed time: 0.298649; featured found: 42; features tracked: 40
elapsed time: 0.266423; featured found: 74; features tracked: 38
elapsed time: 0.253421; featured found: 75; features tracked: 58
elapsed time: 0.247323; featured found: 25; features tracked: 27
elapsed time: 0.300334; featured found: 15; features tracked: 13
elapsed time: 0.278151; featured found: 46; features tracked: 9
elapsed time: 0.268118; featured found: 21; features tracked: 16
elapsed time: 0.266461; featured found: 9; features tracked: 7
elapsed time: 0.245134; featured found: 24; features tracked: 8
elapsed time: 0.248284; featured found: 48; features tracked: 22
elapsed time: 0.269847; featured found: 26; features tracked: 24
elapsed time: 0.272149; featured found: 40; features tracked: 23
elapsed time: 0.268971; featured found: 26; features tracked: 25
elapsed time: 0.269233; featured found: 60; features tracked: 24
elapsed time: 0.27362; featured found: 26; features tracked: 28
elapsed time: 0.268066; featured found: 45; features tracked: 21
elapsed time: 0.3702; featured found: 45; features tracked: 34
elapsed time: 0.304221; featured found: 18; features tracked: 15
elapsed time: 0.280186; featured found: 30; features tracked: 16
elapsed time: 0.355578; featured found: 41; features tracked: 24
elapsed time: 0.345424; featured found: 17; features tracked: 15
elapsed time: 0.304092; featured found: 50; features tracked: 15
elapsed time: 0.279698; featured found: 37; features tracked: 32
elapsed time: 0.393742; featured found: 60; features tracked: 32
elapsed time: 0.286694; featured found: 53; features tracked: 39
elapsed time: 0.264901; featured found: 20; features tracked: 18
elapsed time: 0.296351; featured found: 24; features tracked: 13
elapsed time: 0.266663; featured found: 50; features tracked: 18
elapsed time: 0.288582; featured found: 29; features tracked: 20
elapsed time: 0.383403; featured found: 14; features tracked: 12
elapsed time: 0.329294; featured found: 30; features tracked: 11
elapsed time: 0.311672; featured found: 4; features tracked: 4
elapsed time: 0.325867; featured found: 45; features tracked: 2
elapsed time: 0.25268; featured found: 55; features tracked: 35
elapsed time: 0.2463; featured found: 54; features tracked: 28
elapsed time: 0.29545; featured found: 30; features tracked: 27
elapsed time: 0.265366; featured found: 37; features tracked: 23
elapsed time: 0.262029; featured found: 68; features tracked: 34
elapsed time: 0.235638; featured found: 65; features tracked: 45
elapsed time: 0.242338; featured found: 47; features tracked: 37
elapsed time: 0.258023; featured found: 37; features tracked: 24
elapsed time: 0.22817; featured found: 9; features tracked: 15
elapsed time: 0.260743; featured found: 29; features tracked: 8
elapsed time: 0.228797; featured found: 20; features tracked: 14
elapsed time: 0.257031; featured found: 13; features tracked: 12
elapsed time: 0.229095; featured found: 7; features tracked: 4
elapsed time: 0.277963; featured found: 38; features tracked: 5
elapsed time: 0.364453; featured found: 22; features tracked: 14
elapsed time: 0.275139; featured found: 23; features tracked: 14
elapsed time: 0.310396; featured found: 10; features tracked: 6
elapsed time: 0.287187; featured found: 15; features tracked: 4
elapsed time: 0.280419; featured found: 42; features tracked: 12
elapsed time: 0.275384; featured found: 47; features tracked: 25
elapsed time: 0.26699; featured found: 38; features tracked: 35
elapsed time: 0.265968; featured found: 32; features tracked: 21
elapsed time: 0.279674; featured found: 24; features tracked: 17
elapsed time: 0.25556; featured found: 15; features tracked: 7
elapsed time: 0.270238; featured found: 13; features tracked: 7
elapsed time: 0.255479; featured found: 4; features tracked: 3
elapsed time: 0.303339; featured found: 17; features tracked: 2
elapsed time: 0.268447; featured found: 14; features tracked: 11
elapsed time: 0.272277; featured found: 9; features tracked: 9
elapsed time: 0.280851; featured found: 17; features tracked: 9
elapsed time: 0.270709; featured found: 11; features tracked: 4
elapsed time: 0.27776; featured found: 11; features tracked: 6
elapsed time: 0.280122; featured found: 14; features tracked: 8
elapsed time: 0.276565; featured found: 26; features tracked: 12
