[INFO] Shi-Tomasi + FREAK on CPU
elapsed time: 0.360092; featured found: 39; features tracked: 24
elapsed time: 0.32861; featured found: 28; features tracked: 13
elapsed time: 0.335288; featured found: 57; features tracked: 15
elapsed time: 0.304939; featured found: 51; features tracked: 27
elapsed time: 0.297454; featured found: 39; features tracked: 26
elapsed time: 0.309544; featured found: 26; features tracked: 9
elapsed time: 0.309067; featured found: 21; features tracked: 14
elapsed time: 0.29369; featured found: 117; features tracked: 8
elapsed time: 0.34241; featured found: 57; features tracked: 39
elapsed time: 0.299059; featured found: 112; features tracked: 37
elapsed time: 0.298592; featured found: 84; features tracked: 57
elapsed time: 0.299323; featured found: 22; features tracked: 16
elapsed time: 0.291157; featured found: 24; features tracked: 14
elapsed time: 0.293109; featured found: 24; features tracked: 21
elapsed time: 0.292349; featured found: 21; features tracked: 9
elapsed time: 0.298056; featured found: 12; features tracked: 6
elapsed time: 0.291877; featured found: 15; features tracked: 6
elapsed time: 0.290749; featured found: 45; features tracked: 4
elapsed time: 0.288431; featured found: 13; features tracked: 16
elapsed time: 0.294117; featured found: 6; features tracked: 5
elapsed time: 0.287334; featured found: 20; features tracked: 6
elapsed time: 0.284628; featured found: 34; features tracked: 8
elapsed time: 0.287673; featured found: 42; features tracked: 15
elapsed time: 0.289868; featured found: 14; features tracked: 16
elapsed time: 0.288993; featured found: 22; features tracked: 7
elapsed time: 0.288829; featured found: 51; features tracked: 8
elapsed time: 0.28972; featured found: 41; features tracked: 30
elapsed time: 0.289256; featured found: 30; features tracked: 4
elapsed time: 0.302133; featured found: 7; features tracked: 2
elapsed time: 0.289549; featured found: 37; features tracked: 2
elapsed time: 0.293689; featured found: 53; features tracked: 11
elapsed time: 0.296688; featured found: 64; features tracked: 29
elapsed time: 0.296895; featured found: 24; features tracked: 23
elapsed time: 0.291983; featured found: 20; features tracked: 14
elapsed time: 0.295068; featured found: 11; features tracked: 10
elapsed time: 0.290507; featured found: 10; features tracked: 8
elapsed time: 0.328095; featured found: 5; features tracked: 6
elapsed time: 0.298044; featured found: 70; features tracked: 3
elapsed time: 0.293382; featured found: 27; features tracked: 20
elapsed time: 0.293161; featured found: 31; features tracked: 16
elapsed time: 0.291911; featured found: 25; features tracked: 8
elapsed time: 0.288038; featured found: 5; features tracked: 4
elapsed time: 0.290673; featured found: 75; features tracked: 1
elapsed time: 0.295117; featured found: 81; features tracked: 50
elapsed time: 0.294096; featured found: 90; features tracked: 25
elapsed time: 0.293346; featured found: 62; features tracked: 55
elapsed time: 0.293177; featured found: 53; features tracked: 9
elapsed time: 0.288914; featured found: 64; features tracked: 37
elapsed time: 0.28784; featured found: 3; features tracked: 35
elapsed time: 0.28882; featured found: 12; features tracked: 3
elapsed time: 0.288802; featured found: 69; features tracked: 4
elapsed time: 0.289614; featured found: 72; features tracked: 40
elapsed time: 0.289316; featured found: 58; features tracked: 41
elapsed time: 0.290201; featured found: 87; features tracked: 38
elapsed time: 0.291283; featured found: 68; features tracked: 55
elapsed time: 0.290877; featured found: 59; features tracked: 39
elapsed time: 0.299686; featured found: 97; features tracked: 43
elapsed time: 0.290653; featured found: 91; features tracked: 64
elapsed time: 0.288275; featured found: 95; features tracked: 62
elapsed time: 0.294245; featured found: 118; features tracked: 74
elapsed time: 0.296582; featured found: 28; features tracked: 29
elapsed time: 0.291724; featured found: 69; features tracked: 24
elapsed time: 0.292337; featured found: 81; features tracked: 52
elapsed time: 0.294011; featured found: 33; features tracked: 33
elapsed time: 0.291327; featured found: 28; features tracked: 14
elapsed time: 0.295071; featured found: 43; features tracked: 14
elapsed time: 0.296794; featured found: 28; features tracked: 14
elapsed time: 0.297085; featured found: 16; features tracked: 9
elapsed time: 0.293931; featured found: 39; features tracked: 11
elapsed time: 0.286564; featured found: 60; features tracked: 28
elapsed time: 0.290203; featured found: 20; features tracked: 19
elapsed time: 0.293344; featured found: 47; features tracked: 14
elapsed time: 0.295325; featured found: 34; features tracked: 27
elapsed time: 0.290341; featured found: 39; features tracked: 20
elapsed time: 0.290751; featured found: 15; features tracked: 12
elapsed time: 0.299962; featured found: 53; features tracked: 12
elapsed time: 0.291423; featured found: 47; features tracked: 34
elapsed time: 0.289538; featured found: 16; features tracked: 20
elapsed time: 0.289941; featured found: 26; features tracked: 13
elapsed time: 0.294067; featured found: 39; features tracked: 23
elapsed time: 0.290553; featured found: 16; features tracked: 17
elapsed time: 0.291318; featured found: 29; features tracked: 11
elapsed time: 0.292809; featured found: 21; features tracked: 19
elapsed time: 0.296123; featured found: 61; features tracked: 18
elapsed time: 0.297259; featured found: 53; features tracked: 32
elapsed time: 0.288132; featured found: 26; features tracked: 21
elapsed time: 0.299671; featured found: 36; features tracked: 15
elapsed time: 0.296725; featured found: 56; features tracked: 24
elapsed time: 0.304018; featured found: 46; features tracked: 24
elapsed time: 0.295297; featured found: 17; features tracked: 18
elapsed time: 0.294759; featured found: 34; features tracked: 12
