[INFO] SURF on CPU
elapsed time: 0.536799; featured found: 529; features tracked: 315
elapsed time: 0.585921; featured found: 410; features tracked: 253
elapsed time: 0.47265; featured found: 518; features tracked: 252
elapsed time: 0.455353; featured found: 431; features tracked: 263
elapsed time: 0.48866; featured found: 453; features tracked: 296
elapsed time: 0.491671; featured found: 556; features tracked: 258
elapsed time: 0.463334; featured found: 581; features tracked: 366
elapsed time: 0.452496; featured found: 536; features tracked: 351
elapsed time: 0.452029; featured found: 428; features tracked: 285
elapsed time: 0.436277; featured found: 387; features tracked: 270
elapsed time: 0.457002; featured found: 389; features tracked: 277
elapsed time: 0.47056; featured found: 453; features tracked: 244
elapsed time: 0.500482; featured found: 488; features tracked: 303
elapsed time: 0.465791; featured found: 501; features tracked: 328
elapsed time: 0.469014; featured found: 479; features tracked: 334
elapsed time: 0.468202; featured found: 445; features tracked: 289
elapsed time: 0.462468; featured found: 401; features tracked: 277
elapsed time: 0.44182; featured found: 308; features tracked: 201
elapsed time: 0.44576; featured found: 310; features tracked: 224
elapsed time: 0.489612; featured found: 363; features tracked: 200
elapsed time: 0.469389; featured found: 436; features tracked: 195
elapsed time: 0.442087; featured found: 428; features tracked: 249
elapsed time: 0.467298; featured found: 403; features tracked: 228
elapsed time: 0.474879; featured found: 464; features tracked: 268
elapsed time: 0.455024; featured found: 476; features tracked: 311
elapsed time: 0.458963; featured found: 450; features tracked: 265
elapsed time: 0.451353; featured found: 451; features tracked: 318
elapsed time: 0.466422; featured found: 465; features tracked: 217
elapsed time: 0.469757; featured found: 470; features tracked: 294
elapsed time: 0.466612; featured found: 432; features tracked: 260
elapsed time: 0.469396; featured found: 346; features tracked: 214
elapsed time: 0.455296; featured found: 374; features tracked: 233
elapsed time: 0.458382; featured found: 408; features tracked: 266
elapsed time: 0.464827; featured found: 450; features tracked: 286
elapsed time: 0.469792; featured found: 453; features tracked: 290
elapsed time: 0.484285; featured found: 452; features tracked: 317
elapsed time: 0.46403; featured found: 424; features tracked: 314
elapsed time: 0.470363; featured found: 366; features tracked: 242
elapsed time: 0.475983; featured found: 395; features tracked: 266
elapsed time: 0.460273; featured found: 401; features tracked: 286
elapsed time: 0.46796; featured found: 358; features tracked: 200
elapsed time: 0.489739; featured found: 333; features tracked: 237
elapsed time: 0.475781; featured found: 431; features tracked: 148
elapsed time: 0.476654; featured found: 407; features tracked: 290
elapsed time: 0.473911; featured found: 328; features tracked: 200
elapsed time: 0.453065; featured found: 327; features tracked: 235
elapsed time: 0.50361; featured found: 420; features tracked: 151
elapsed time: 0.463128; featured found: 418; features tracked: 275
elapsed time: 0.495525; featured found: 425; features tracked: 298
elapsed time: 0.469269; featured found: 416; features tracked: 305
elapsed time: 0.570275; featured found: 416; features tracked: 297
elapsed time: 0.47173; featured found: 424; features tracked: 290
elapsed time: 0.493506; featured found: 409; features tracked: 300
elapsed time: 0.503106; featured found: 423; features tracked: 278
elapsed time: 0.48195; featured found: 419; features tracked: 306
elapsed time: 0.533744; featured found: 407; features tracked: 302
elapsed time: 0.465421; featured found: 417; features tracked: 276
elapsed time: 0.477837; featured found: 422; features tracked: 296
elapsed time: 0.504656; featured found: 421; features tracked: 306
elapsed time: 0.476059; featured found: 436; features tracked: 315
elapsed time: 0.472986; featured found: 460; features tracked: 301
elapsed time: 0.460966; featured found: 447; features tracked: 316
elapsed time: 0.469636; featured found: 451; features tracked: 330
elapsed time: 0.485711; featured found: 468; features tracked: 294
elapsed time: 0.473793; featured found: 436; features tracked: 307
elapsed time: 0.469095; featured found: 421; features tracked: 276
elapsed time: 0.482096; featured found: 464; features tracked: 247
elapsed time: 0.477003; featured found: 454; features tracked: 278
elapsed time: 0.481332; featured found: 449; features tracked: 312
elapsed time: 0.475709; featured found: 448; features tracked: 318
elapsed time: 0.488877; featured found: 473; features tracked: 321
elapsed time: 0.465458; featured found: 461; features tracked: 349
elapsed time: 0.486644; featured found: 489; features tracked: 326
elapsed time: 0.491619; featured found: 484; features tracked: 341
elapsed time: 0.46455; featured found: 483; features tracked: 347
elapsed time: 0.476962; featured found: 488; features tracked: 357
elapsed time: 0.481846; featured found: 488; features tracked: 358
