[INFO] BRISK on CPU
elapsed time: 0.0168904; featured found: 64; features tracked: 0
elapsed time: 0.0143608; featured found: 58; features tracked: 31
elapsed time: 0.0136147; featured found: 57; features tracked: 24
elapsed time: 0.0198936; featured found: 70; features tracked: 26
elapsed time: 0.0138264; featured found: 65; features tracked: 37
elapsed time: 0.0138124; featured found: 73; features tracked: 38
elapsed time: 0.0133836; featured found: 70; features tracked: 38
elapsed time: 0.0134907; featured found: 62; features tracked: 37
elapsed time: 0.0134927; featured found: 62; features tracked: 35
elapsed time: 0.0133304; featured found: 70; features tracked: 28
elapsed time: 0.0135892; featured found: 73; features tracked: 33
elapsed time: 0.0220311; featured found: 55; features tracked: 28
elapsed time: 0.0130041; featured found: 62; features tracked: 26
elapsed time: 0.014404; featured found: 71; features tracked: 30
elapsed time: 0.0140969; featured found: 69; features tracked: 32
elapsed time: 0.0139497; featured found: 67; features tracked: 22
elapsed time: 0.0130079; featured found: 61; features tracked: 33
elapsed time: 0.014194; featured found: 64; features tracked: 27
elapsed time: 0.0130494; featured found: 61; features tracked: 33
elapsed time: 0.0194573; featured found: 68; features tracked: 32
elapsed time: 0.0125676; featured found: 69; features tracked: 28
elapsed time: 0.0137584; featured found: 62; features tracked: 28
elapsed time: 0.0136; featured found: 64; features tracked: 24
elapsed time: 0.013532; featured found: 61; features tracked: 32
elapsed time: 0.0135212; featured found: 71; features tracked: 37
elapsed time: 0.0136572; featured found: 66; features tracked: 35
elapsed time: 0.0139179; featured found: 66; features tracked: 28
elapsed time: 0.0196112; featured found: 82; features tracked: 39
elapsed time: 0.0132329; featured found: 80; features tracked: 36
elapsed time: 0.0128644; featured found: 72; features tracked: 34
elapsed time: 0.0134117; featured found: 70; features tracked: 33
elapsed time: 0.0134563; featured found: 68; features tracked: 28
elapsed time: 0.0137426; featured found: 74; features tracked: 30
elapsed time: 0.0133066; featured found: 62; features tracked: 27
elapsed time: 0.0140799; featured found: 63; features tracked: 24
elapsed time: 0.0190528; featured found: 68; features tracked: 29
elapsed time: 0.0120548; featured found: 63; features tracked: 29
elapsed time: 0.0137471; featured found: 88; features tracked: 31
elapsed time: 0.0133343; featured found: 74; features tracked: 40
elapsed time: 0.0134831; featured found: 77; features tracked: 35
elapsed time: 0.0135602; featured found: 69; features tracked: 30
elapsed time: 0.0159849; featured found: 65; features tracked: 31
elapsed time: 0.0127778; featured found: 74; features tracked: 23
elapsed time: 0.0194002; featured found: 83; features tracked: 28
elapsed time: 0.0132744; featured found: 72; features tracked: 31
elapsed time: 0.0128375; featured found: 69; features tracked: 28
elapsed time: 0.0128272; featured found: 75; features tracked: 26
elapsed time: 0.0132245; featured found: 68; features tracked: 25
elapsed time: 0.0131032; featured found: 82; features tracked: 26
elapsed time: 0.0130533; featured found: 81; features tracked: 32
elapsed time: 0.0130004; featured found: 79; features tracked: 30
elapsed time: 0.0195047; featured found: 80; features tracked: 30
elapsed time: 0.0132813; featured found: 76; features tracked: 33
elapsed time: 0.0138842; featured found: 74; features tracked: 32
elapsed time: 0.0145578; featured found: 96; features tracked: 34
elapsed time: 0.0146725; featured found: 69; features tracked: 30
elapsed time: 0.0140717; featured found: 82; features tracked: 30
elapsed time: 0.0136963; featured found: 63; features tracked: 24
elapsed time: 0.0139661; featured found: 78; features tracked: 25
elapsed time: 0.0194887; featured found: 77; features tracked: 32
elapsed time: 0.0133923; featured found: 76; features tracked: 28
elapsed time: 0.0129469; featured found: 70; features tracked: 38
elapsed time: 0.0129231; featured found: 69; features tracked: 27
elapsed time: 0.0130027; featured found: 64; features tracked: 30
