[INFO] ORB on CPU
elapsed time: 0.0695557; featured found: 30; features tracked: 22
elapsed time: 0.0744462; featured found: 30; features tracked: 22
elapsed time: 0.0646429; featured found: 30; features tracked: 18
elapsed time: 0.0644869; featured found: 30; features tracked: 17
elapsed time: 0.066466; featured found: 30; features tracked: 19
elapsed time: 0.0657797; featured found: 30; features tracked: 20
elapsed time: 0.0663321; featured found: 30; features tracked: 14
elapsed time: 0.0665694; featured found: 30; features tracked: 16
elapsed time: 0.0670713; featured found: 30; features tracked: 17
elapsed time: 0.073233; featured found: 30; features tracked: 17
elapsed time: 0.0779141; featured found: 30; features tracked: 21
elapsed time: 0.0857821; featured found: 30; features tracked: 20
elapsed time: 0.0672149; featured found: 30; features tracked: 19
elapsed time: 0.0660631; featured found: 30; features tracked: 17
elapsed time: 0.0655432; featured found: 30; features tracked: 18
elapsed time: 0.0655355; featured found: 30; features tracked: 19
elapsed time: 0.0668252; featured found: 30; features tracked: 22
elapsed time: 0.0733022; featured found: 30; features tracked: 18
elapsed time: 0.0653057; featured found: 30; features tracked: 21
elapsed time: 0.066357; featured found: 30; features tracked: 17
elapsed time: 0.0667047; featured found: 30; features tracked: 17
elapsed time: 0.0665335; featured found: 30; features tracked: 22
elapsed time: 0.0659967; featured found: 30; features tracked: 21
elapsed time: 0.065734; featured found: 30; features tracked: 18
elapsed time: 0.0657484; featured found: 30; features tracked: 21
elapsed time: 0.0660349; featured found: 30; features tracked: 20
elapsed time: 0.0663747; featured found: 30; features tracked: 22
elapsed time: 0.0652186; featured found: 30; features tracked: 17
elapsed time: 0.0655841; featured found: 30; features tracked: 20
elapsed time: 0.0663745; featured found: 30; features tracked: 21
elapsed time: 0.0654123; featured found: 30; features tracked: 22
elapsed time: 0.0659215; featured found: 30; features tracked: 21
elapsed time: 0.0653732; featured found: 30; features tracked: 23
elapsed time: 0.0667772; featured found: 30; features tracked: 18
elapsed time: 0.0668948; featured found: 30; features tracked: 17
elapsed time: 0.0666318; featured found: 30; features tracked: 19
elapsed time: 0.0667105; featured found: 30; features tracked: 19
elapsed time: 0.0676029; featured found: 30; features tracked: 20
elapsed time: 0.0675202; featured found: 30; features tracked: 18
elapsed time: 0.0675431; featured found: 30; features tracked: 21
elapsed time: 0.0661135; featured found: 30; features tracked: 21
elapsed time: 0.0665369; featured found: 30; features tracked: 19
elapsed time: 0.0676469; featured found: 30; features tracked: 18
elapsed time: 0.0663196; featured found: 30; features tracked: 16
elapsed time: 0.0664326; featured found: 30; features tracked: 16
elapsed time: 0.0680183; featured found: 30; features tracked: 19
elapsed time: 0.0675214; featured found: 30; features tracked: 20
elapsed time: 0.0671144; featured found: 30; features tracked: 21
elapsed time: 0.0665836; featured found: 30; features tracked: 14
elapsed time: 0.0669624; featured found: 30; features tracked: 22
elapsed time: 0.0669338; featured found: 30; features tracked: 23
elapsed time: 0.0664084; featured found: 30; features tracked: 20
elapsed time: 0.0688019; featured found: 30; features tracked: 22
elapsed time: 0.0664336; featured found: 30; features tracked: 23
elapsed time: 0.0665586; featured found: 30; features tracked: 24
elapsed time: 0.0673874; featured found: 30; features tracked: 18
elapsed time: 0.067573; featured found: 30; features tracked: 17
elapsed time: 0.0663828; featured found: 30; features tracked: 18
elapsed time: 0.0670369; featured found: 30; features tracked: 20
elapsed time: 0.067416; featured found: 30; features tracked: 19
elapsed time: 0.0660297; featured found: 30; features tracked: 16
elapsed time: 0.0663224; featured found: 30; features tracked: 24
elapsed time: 0.0671806; featured found: 30; features tracked: 18
elapsed time: 0.0657432; featured found: 30; features tracked: 21
elapsed time: 0.0664052; featured found: 30; features tracked: 16
elapsed time: 0.067612; featured found: 30; features tracked: 18
elapsed time: 0.067522; featured found: 30; features tracked: 16
elapsed time: 0.0676411; featured found: 30; features tracked: 20
elapsed time: 0.0675899; featured found: 30; features tracked: 13
elapsed time: 0.0671178; featured found: 30; features tracked: 17
elapsed time: 0.0668311; featured found: 30; features tracked: 16
elapsed time: 0.0680236; featured found: 30; features tracked: 17
elapsed time: 0.0674736; featured found: 30; features tracked: 21
elapsed time: 0.0676675; featured found: 30; features tracked: 22
elapsed time: 0.0684706; featured found: 30; features tracked: 17
elapsed time: 0.0677244; featured found: 30; features tracked: 20
elapsed time: 0.0675538; featured found: 30; features tracked: 18
elapsed time: 0.066794; featured found: 30; features tracked: 23
elapsed time: 0.0676772; featured found: 30; features tracked: 20
elapsed time: 0.0666009; featured found: 30; features tracked: 21
elapsed time: 0.0697658; featured found: 30; features tracked: 20
elapsed time: 0.0684201; featured found: 30; features tracked: 19
elapsed time: 0.0668046; featured found: 30; features tracked: 19
elapsed time: 0.0674549; featured found: 30; features tracked: 21
elapsed time: 0.0674657; featured found: 30; features tracked: 17
elapsed time: 0.06725; featured found: 30; features tracked: 16
elapsed time: 0.0677182; featured found: 30; features tracked: 23
elapsed time: 0.0674363; featured found: 30; features tracked: 18
elapsed time: 0.0674718; featured found: 30; features tracked: 18
elapsed time: 0.068341; featured found: 30; features tracked: 15
elapsed time: 0.0668255; featured found: 30; features tracked: 18
elapsed time: 0.0672799; featured found: 30; features tracked: 21
elapsed time: 0.0668869; featured found: 30; features tracked: 20
elapsed time: 0.0669025; featured found: 30; features tracked: 21
elapsed time: 0.0676321; featured found: 30; features tracked: 20
elapsed time: 0.0668683; featured found: 30; features tracked: 26
elapsed time: 0.0676731; featured found: 30; features tracked: 22
elapsed time: 0.0678049; featured found: 30; features tracked: 22
elapsed time: 0.0683826; featured found: 30; features tracked: 20
elapsed time: 0.0680451; featured found: 30; features tracked: 19
elapsed time: 0.0684167; featured found: 30; features tracked: 21
elapsed time: 0.0678206; featured found: 30; features tracked: 20
elapsed time: 0.0683768; featured found: 30; features tracked: 23
elapsed time: 0.0677788; featured found: 30; features tracked: 19
elapsed time: 0.0669005; featured found: 30; features tracked: 18
elapsed time: 0.0672925; featured found: 30; features tracked: 16
elapsed time: 0.0676852; featured found: 30; features tracked: 19
elapsed time: 0.0692164; featured found: 30; features tracked: 22
elapsed time: 0.0683908; featured found: 30; features tracked: 18
elapsed time: 0.0678363; featured found: 30; features tracked: 19
elapsed time: 0.0670414; featured found: 30; features tracked: 24
elapsed time: 0.0674865; featured found: 30; features tracked: 22
elapsed time: 0.0686833; featured found: 30; features tracked: 26
elapsed time: 0.0685334; featured found: 30; features tracked: 20
elapsed time: 0.0693442; featured found: 30; features tracked: 20
elapsed time: 0.0679454; featured found: 30; features tracked: 23
elapsed time: 0.0685789; featured found: 30; features tracked: 17
elapsed time: 0.0682283; featured found: 30; features tracked: 18
elapsed time: 0.0682335; featured found: 30; features tracked: 21
elapsed time: 0.0699382; featured found: 30; features tracked: 15
elapsed time: 0.0685162; featured found: 30; features tracked: 21
elapsed time: 0.0686508; featured found: 30; features tracked: 22
elapsed time: 0.068029; featured found: 30; features tracked: 20
elapsed time: 0.0680878; featured found: 30; features tracked: 23
