[INFO] Shi-Tomasi + FREAK on CPU
elapsed time: 0.0465224; featured found: 7; features tracked: 6
elapsed time: 0.0538543; featured found: 6; features tracked: 5
elapsed time: 0.0537241; featured found: 5; features tracked: 6
elapsed time: 0.0474418; featured found: 17; features tracked: 4
elapsed time: 0.0506012; featured found: 8; features tracked: 6
elapsed time: 0.0461899; featured found: 6; features tracked: 4
elapsed time: 0.0457204; featured found: 6; features tracked: 3
elapsed time: 0.0462195; featured found: 11; features tracked: 5
elapsed time: 0.0459196; featured found: 10; features tracked: 7
elapsed time: 0.0459649; featured found: 12; features tracked: 7
elapsed time: 0.0461719; featured found: 26; features tracked: 10
elapsed time: 0.0465316; featured found: 6; features tracked: 13
elapsed time: 0.046303; featured found: 10; features tracked: 5
elapsed time: 0.0457069; featured found: 26; features tracked: 7
elapsed time: 0.0459478; featured found: 5; features tracked: 9
elapsed time: 0.0461733; featured found: 8; features tracked: 4
elapsed time: 0.0495569; featured found: 9; features tracked: 5
elapsed time: 0.0456356; featured found: 7; features tracked: 5
elapsed time: 0.0464084; featured found: 13; features tracked: 5
elapsed time: 0.0461268; featured found: 11; features tracked: 6
elapsed time: 0.0461778; featured found: 6; features tracked: 8
elapsed time: 0.0457698; featured found: 14; features tracked: 5
elapsed time: 0.0466698; featured found: 13; features tracked: 10
elapsed time: 0.046336; featured found: 12; features tracked: 10
elapsed time: 0.0460923; featured found: 14; features tracked: 10
elapsed time: 0.0457265; featured found: 7; features tracked: 8
elapsed time: 0.0457696; featured found: 19; features tracked: 7
elapsed time: 0.0459101; featured found: 9; features tracked: 7
elapsed time: 0.0473459; featured found: 15; features tracked: 9
elapsed time: 0.045975; featured found: 9; features tracked: 9
elapsed time: 0.0458888; featured found: 17; features tracked: 7
elapsed time: 0.0462042; featured found: 12; features tracked: 9
elapsed time: 0.0464772; featured found: 11; features tracked: 8
elapsed time: 0.0462046; featured found: 15; features tracked: 8
elapsed time: 0.0462365; featured found: 4; features tracked: 7
elapsed time: 0.0463101; featured found: 23; features tracked: 4
elapsed time: 0.0460153; featured found: 9; features tracked: 10
elapsed time: 0.0460564; featured found: 17; features tracked: 8
elapsed time: 0.0459355; featured found: 12; features tracked: 12
elapsed time: 0.0469233; featured found: 15; features tracked: 11
elapsed time: 0.0469381; featured found: 13; features tracked: 11
elapsed time: 0.0459777; featured found: 19; features tracked: 9
elapsed time: 0.0457574; featured found: 7; features tracked: 7
elapsed time: 0.0465011; featured found: 20; features tracked: 6
elapsed time: 0.0460664; featured found: 9; features tracked: 9
elapsed time: 0.0462363; featured found: 21; features tracked: 9
elapsed time: 0.0456829; featured found: 8; features tracked: 8
elapsed time: 0.0461882; featured found: 17; features tracked: 8
elapsed time: 0.0458153; featured found: 19; features tracked: 13
elapsed time: 0.0458725; featured found: 14; features tracked: 11
elapsed time: 0.0458438; featured found: 13; features tracked: 10
elapsed time: 0.0470798; featured found: 13; features tracked: 10
elapsed time: 0.046882; featured found: 13; features tracked: 10
elapsed time: 0.0464128; featured found: 13; features tracked: 10
elapsed time: 0.0463537; featured found: 9; features tracked: 6
elapsed time: 0.0455933; featured found: 6; features tracked: 6
elapsed time: 0.0456623; featured found: 16; features tracked: 5
elapsed time: 0.0457681; featured found: 25; features tracked: 13
elapsed time: 0.0461108; featured found: 12; features tracked: 12
elapsed time: 0.045646; featured found: 8; features tracked: 7
elapsed time: 0.045482; featured found: 16; features tracked: 8
elapsed time: 0.0458255; featured found: 8; features tracked: 7
elapsed time: 0.0459654; featured found: 11; features tracked: 7
elapsed time: 0.047052; featured found: 20; features tracked: 10
elapsed time: 0.0461389; featured found: 16; features tracked: 14
elapsed time: 0.0461502; featured found: 16; features tracked: 12
elapsed time: 0.0462804; featured found: 15; features tracked: 9
elapsed time: 0.0459161; featured found: 10; features tracked: 8
elapsed time: 0.0454814; featured found: 8; features tracked: 8
elapsed time: 0.0457725; featured found: 5; features tracked: 5
elapsed time: 0.0458522; featured found: 7; features tracked: 4
elapsed time: 0.0461154; featured found: 12; features tracked: 7
elapsed time: 0.0455736; featured found: 4; features tracked: 4
elapsed time: 0.0458102; featured found: 8; features tracked: 4
elapsed time: 0.0457682; featured found: 16; features tracked: 7
elapsed time: 0.04737; featured found: 10; features tracked: 9
elapsed time: 0.0459798; featured found: 10; features tracked: 9
elapsed time: 0.0458859; featured found: 20; features tracked: 7
elapsed time: 0.0462038; featured found: 16; features tracked: 10
elapsed time: 0.0473934; featured found: 12; features tracked: 8
elapsed time: 0.0462424; featured found: 14; features tracked: 9
elapsed time: 0.046307; featured found: 7; features tracked: 7
elapsed time: 0.0472976; featured found: 7; features tracked: 6
elapsed time: 0.046699; featured found: 5; features tracked: 5
elapsed time: 0.0460195; featured found: 11; features tracked: 5
elapsed time: 0.046182; featured found: 10; features tracked: 9
elapsed time: 0.046257; featured found: 9; features tracked: 7
elapsed time: 0.0470638; featured found: 10; features tracked: 9
elapsed time: 0.0462606; featured found: 17; features tracked: 9
elapsed time: 0.0467338; featured found: 7; features tracked: 8
elapsed time: 0.0455219; featured found: 11; features tracked: 6
elapsed time: 0.0464554; featured found: 9; features tracked: 6
elapsed time: 0.0459109; featured found: 9; features tracked: 6
elapsed time: 0.0462087; featured found: 31; features tracked: 7
elapsed time: 0.0460138; featured found: 16; features tracked: 14
elapsed time: 0.0457785; featured found: 12; features tracked: 8
elapsed time: 0.0457693; featured found: 10; features tracked: 8
elapsed time: 0.0458519; featured found: 7; features tracked: 6
elapsed time: 0.0460305; featured found: 16; features tracked: 7
elapsed time: 0.0470017; featured found: 18; features tracked: 11
elapsed time: 0.046098; featured found: 5; features tracked: 7
elapsed time: 0.0461487; featured found: 5; features tracked: 5
elapsed time: 0.0462095; featured found: 13; features tracked: 5
elapsed time: 0.0458694; featured found: 5; features tracked: 6
elapsed time: 0.0456641; featured found: 5; features tracked: 4
elapsed time: 0.0457591; featured found: 16; features tracked: 4
elapsed time: 0.0456761; featured found: 7; features tracked: 8
elapsed time: 0.0456751; featured found: 7; features tracked: 5
elapsed time: 0.0456041; featured found: 15; features tracked: 5
elapsed time: 0.0456193; featured found: 7; features tracked: 9
elapsed time: 0.0463243; featured found: 9; features tracked: 7
elapsed time: 0.0469299; featured found: 14; features tracked: 9
elapsed time: 0.0472951; featured found: 7; features tracked: 8
elapsed time: 0.0464019; featured found: 8; features tracked: 4
elapsed time: 0.0462323; featured found: 12; features tracked: 6
elapsed time: 0.0461569; featured found: 9; features tracked: 6
elapsed time: 0.0458383; featured found: 13; features tracked: 6
elapsed time: 0.045945; featured found: 14; features tracked: 8
elapsed time: 0.0458315; featured found: 11; features tracked: 9
elapsed time: 0.0459297; featured found: 10; features tracked: 6
elapsed time: 0.0458912; featured found: 18; features tracked: 7
elapsed time: 0.046053; featured found: 9; features tracked: 9
elapsed time: 0.0468233; featured found: 9; features tracked: 8
elapsed time: 0.0465586; featured found: 18; features tracked: 7
elapsed time: 0.0461085; featured found: 17; features tracked: 10
elapsed time: 0.0460139; featured found: 16; features tracked: 10
elapsed time: 0.0456893; featured found: 20; features tracked: 10
elapsed time: 0.0458157; featured found: 16; features tracked: 12
elapsed time: 0.0460995; featured found: 25; features tracked: 13
elapsed time: 0.0465103; featured found: 38; features tracked: 17
elapsed time: 0.0470747; featured found: 16; features tracked: 11
elapsed time: 0.0469665; featured found: 18; features tracked: 12
elapsed time: 0.046518; featured found: 21; features tracked: 13
elapsed time: 0.0469318; featured found: 16; features tracked: 15
elapsed time: 0.0464721; featured found: 17; features tracked: 10
elapsed time: 0.0462733; featured found: 40; features tracked: 11
elapsed time: 0.0459541; featured found: 10; features tracked: 13
elapsed time: 0.0457789; featured found: 22; features tracked: 9
elapsed time: 0.0465634; featured found: 27; features tracked: 16
elapsed time: 0.0459664; featured found: 25; features tracked: 13
elapsed time: 0.0467652; featured found: 20; features tracked: 14
elapsed time: 0.0463271; featured found: 15; features tracked: 12
elapsed time: 0.0464228; featured found: 7; features tracked: 8
elapsed time: 0.0460264; featured found: 13; features tracked: 6
elapsed time: 0.0465016; featured found: 28; features tracked: 9
elapsed time: 0.0464408; featured found: 14; features tracked: 12
elapsed time: 0.0473249; featured found: 10; features tracked: 10
elapsed time: 0.0460881; featured found: 16; features tracked: 7
elapsed time: 0.0461509; featured found: 12; features tracked: 7
elapsed time: 0.0460332; featured found: 10; features tracked: 6
elapsed time: 0.0455461; featured found: 14; features tracked: 8
elapsed time: 0.0457109; featured found: 13; features tracked: 8
elapsed time: 0.0461392; featured found: 11; features tracked: 9
elapsed time: 0.0462825; featured found: 14; features tracked: 9
elapsed time: 0.046307; featured found: 32; features tracked: 13
elapsed time: 0.046011; featured found: 8; features tracked: 9
elapsed time: 0.0468501; featured found: 14; features tracked: 6
elapsed time: 0.0464693; featured found: 12; features tracked: 11
elapsed time: 0.0471779; featured found: 9; features tracked: 7
elapsed time: 0.0463936; featured found: 21; features tracked: 8
elapsed time: 0.047025; featured found: 34; features tracked: 14
elapsed time: 0.0474455; featured found: 19; features tracked: 16
elapsed time: 0.0460643; featured found: 25; features tracked: 10
elapsed time: 0.0461162; featured found: 24; features tracked: 12
elapsed time: 0.0461718; featured found: 8; features tracked: 8
elapsed time: 0.0459462; featured found: 6; features tracked: 6
elapsed time: 0.0458963; featured found: 31; features tracked: 6
elapsed time: 0.04591; featured found: 7; features tracked: 12
elapsed time: 0.0460686; featured found: 9; features tracked: 6
elapsed time: 0.0506774; featured found: 17; features tracked: 7
elapsed time: 0.0470067; featured found: 12; features tracked: 10
elapsed time: 0.0456664; featured found: 11; features tracked: 8
elapsed time: 0.0468592; featured found: 14; features tracked: 8
elapsed time: 0.0467608; featured found: 25; features tracked: 10
elapsed time: 0.0492896; featured found: 6; features tracked: 9
elapsed time: 0.0498029; featured found: 14; features tracked: 5
elapsed time: 0.0460411; featured found: 8; features tracked: 8
elapsed time: 0.0457945; featured found: 7; features tracked: 5
elapsed time: 0.0459489; featured found: 13; features tracked: 5
elapsed time: 0.0463668; featured found: 20; features tracked: 7
elapsed time: 0.0461207; featured found: 10; features tracked: 11
elapsed time: 0.0468522; featured found: 10; features tracked: 6
elapsed time: 0.0460842; featured found: 25; features tracked: 7
elapsed time: 0.0466752; featured found: 35; features tracked: 14
elapsed time: 0.0465795; featured found: 13; features tracked: 13
elapsed time: 0.0460593; featured found: 35; features tracked: 7
elapsed time: 0.0466408; featured found: 42; features tracked: 17
elapsed time: 0.0466278; featured found: 34; features tracked: 15
elapsed time: 0.0466148; featured found: 23; features tracked: 18
elapsed time: 0.0461855; featured found: 22; features tracked: 14
elapsed time: 0.045949; featured found: 17; features tracked: 11
elapsed time: 0.046285; featured found: 17; features tracked: 11
elapsed time: 0.0465279; featured found: 23; features tracked: 11
elapsed time: 0.0477179; featured found: 29; features tracked: 16
elapsed time: 0.0456086; featured found: 10; features tracked: 7
elapsed time: 0.0458176; featured found: 8; features tracked: 6
elapsed time: 0.0457771; featured found: 18; features tracked: 7
elapsed time: 0.0456777; featured found: 6; features tracked: 7
elapsed time: 0.0452743; featured found: 11; features tracked: 5
elapsed time: 0.0459114; featured found: 13; features tracked: 9
elapsed time: 0.0459799; featured found: 18; features tracked: 11
elapsed time: 0.0464378; featured found: 13; features tracked: 8
elapsed time: 0.0469801; featured found: 37; features tracked: 9
elapsed time: 0.0460772; featured found: 12; features tracked: 14
elapsed time: 0.0466444; featured found: 11; features tracked: 9
elapsed time: 0.0472539; featured found: 22; features tracked: 6
elapsed time: 0.0460441; featured found: 11; features tracked: 8
elapsed time: 0.0461128; featured found: 19; features tracked: 4
elapsed time: 0.0460998; featured found: 10; features tracked: 9
elapsed time: 0.0460282; featured found: 27; features tracked: 6
elapsed time: 0.0465942; featured found: 61; features tracked: 17
elapsed time: 0.0471451; featured found: 34; features tracked: 21
elapsed time: 0.0466511; featured found: 30; features tracked: 15
elapsed time: 0.046195; featured found: 32; features tracked: 13
elapsed time: 0.0458734; featured found: 22; features tracked: 9
elapsed time: 0.046122; featured found: 10; features tracked: 12
