[INFO] SURF on CPU
elapsed time: 0.0756307; featured found: 29; features tracked: 20
elapsed time: 0.075578; featured found: 29; features tracked: 24
elapsed time: 0.0706278; featured found: 33; features tracked: 22
elapsed time: 0.0707413; featured found: 29; features tracked: 23
elapsed time: 0.0859138; featured found: 29; features tracked: 18
elapsed time: 0.0743926; featured found: 30; features tracked: 16
elapsed time: 0.0751053; featured found: 31; features tracked: 22
elapsed time: 0.0753388; featured found: 30; features tracked: 21
elapsed time: 0.0763412; featured found: 32; features tracked: 25
elapsed time: 0.0753329; featured found: 32; features tracked: 25
elapsed time: 0.0836023; featured found: 36; features tracked: 27
elapsed time: 0.0788851; featured found: 34; features tracked: 27
elapsed time: 0.0741658; featured found: 32; features tracked: 26
elapsed time: 0.0725276; featured found: 32; features tracked: 24
elapsed time: 0.0710792; featured found: 30; features tracked: 25
elapsed time: 0.0760865; featured found: 30; features tracked: 20
elapsed time: 0.0771291; featured found: 28; features tracked: 21
elapsed time: 0.0777658; featured found: 28; features tracked: 23
elapsed time: 0.0753255; featured found: 31; features tracked: 22
elapsed time: 0.075972; featured found: 31; features tracked: 25
elapsed time: 0.0776157; featured found: 32; features tracked: 20
elapsed time: 0.0730716; featured found: 33; features tracked: 25
elapsed time: 0.0872086; featured found: 32; features tracked: 24
elapsed time: 0.0736304; featured found: 33; features tracked: 21
elapsed time: 0.0766964; featured found: 29; features tracked: 21
elapsed time: 0.0741956; featured found: 35; features tracked: 17
elapsed time: 0.0758633; featured found: 36; features tracked: 25
elapsed time: 0.0779356; featured found: 32; features tracked: 26
elapsed time: 0.0762867; featured found: 32; features tracked: 25
elapsed time: 0.0860268; featured found: 28; features tracked: 20
elapsed time: 0.0737028; featured found: 27; features tracked: 20
elapsed time: 0.0771076; featured found: 33; features tracked: 25
elapsed time: 0.073778; featured found: 30; features tracked: 21
elapsed time: 0.0743309; featured found: 28; features tracked: 20
elapsed time: 0.0840944; featured found: 25; features tracked: 19
elapsed time: 0.072923; featured found: 32; features tracked: 21
elapsed time: 0.0772898; featured found: 30; features tracked: 26
elapsed time: 0.0842952; featured found: 27; features tracked: 22
elapsed time: 0.0841163; featured found: 31; features tracked: 20
elapsed time: 0.0754898; featured found: 27; features tracked: 21
elapsed time: 0.0763032; featured found: 34; features tracked: 17
elapsed time: 0.0756039; featured found: 31; features tracked: 23
elapsed time: 0.0838919; featured found: 32; features tracked: 25
elapsed time: 0.0737139; featured found: 31; features tracked: 22
elapsed time: 0.0760721; featured found: 32; features tracked: 22
elapsed time: 0.0762741; featured found: 32; features tracked: 25
elapsed time: 0.0841525; featured found: 32; features tracked: 26
elapsed time: 0.0739749; featured found: 34; features tracked: 19
elapsed time: 0.0767874; featured found: 35; features tracked: 20
elapsed time: 0.0744148; featured found: 32; features tracked: 22
elapsed time: 0.0757192; featured found: 31; features tracked: 18
elapsed time: 0.0754896; featured found: 34; features tracked: 25
elapsed time: 0.0957076; featured found: 36; features tracked: 21
elapsed time: 0.0795942; featured found: 33; features tracked: 24
elapsed time: 0.0756959; featured found: 39; features tracked: 19
