[INFO] BRISK on CPU
	64
0.0298052	58	64
0.0175212	57	64
0.019433	70	64
0.0124585	65	64
0.0138094	73	64
0.0125661	70	64
0.013251	62	64
0.0129267	62	64
0.0128173	70	64
0.0132473	73	64
0.0191259	55	64
0.0125126	62	64
0.0137853	71	64
0.0123813	69	64
0.0123576	67	64
0.0131802	61	64
0.0132337	64	64
0.0122237	61	64
0.0195865	68	64
0.0125237	69	64
0.0130663	62	64
0.012574	64	64
0.0123726	61	64
0.013133	71	64
0.0157758	66	64
0.0188074	66	64
0.0191812	82	64
0.0137203	80	64
0.0128247	72	64
0.0128345	70	64
0.0126989	68	64
0.0191028	74	64
0.0124119	62	64
0.0130348	63	64
0.019096	68	64
0.0123896	63	64
0.0127734	88	64
0.0140495	74	63
0.0139156	77	62
0.018874	69	61
0.0126066	65	60
0.0136466	74	59
0.0194027	83	58
0.0127499	72	57
0.0129028	69	56
0.0127845	75	55
0.0126107	68	54
0.0195728	82	53
0.0132504	81
number of tracks: 50
0.0128875	79	79
0.0192766	80	79
0.0140829	76	79
0.0124569	74	79
0.019677	96	79
0.0177879	69	79
0.0131931	82	79
0.0188653	63	79
0.0195744	78	79
0.019189	77	79
0.0130177	76	79
0.0126228	70	79
0.0127696	69	79
0.0128772	64	79
0.0128607	74	79
0.0129506	75	79
0.0127398	76	79
0.0130736	77	79
0.0127621	75	79
0.0129427	77	79
0.012898	78	79
0.0129473	78	79
0.013107	95	79
0.0126917	76	79
0.0128672	84	79
0.0129864	74	79
0.013123	78	79
0.0133617	102	79
0.0127615	83	79
0.012804	71	79
0.0132192	93	79
0.0129322	80	79
0.0128344	82	79
0.0125531	82	79
0.0168574	83	79
0.0142008	72	79
0.0125916	72	79
0.0127782	88	79
0.0127684	81	79
0.0133418	83	79
0.0126269	77	79
0.0127823	74	79
0.0126033	67	79
0.0127559	69	79
0.0128485	81	79
0.0134018	92	79
0.0129399	84	79
0.0127722	89	79
0.0127489	87	77
0.0130706	95
number of tracks: 50
0.0129343	79	79
0.0136569	86	79
0.012906	93	79
0.0127887	82	79
0.0130955	75	79
0.0134855	96	79
0.0129747	80	79
0.0132014	102	79
0.0132233	83	79
0.0132442	93	79
0.0128982	82	79
0.0128212	85	79
0.0128405	84	79
0.0129166	100	79
0.0137723	93	79
0.0150023	100	79
0.0132957	109	79
0.0131964	96	79
0.0130187	82	79
0.0128522	95	79
0.012866	94	79
0.0137394	84	79
0.0192384	94	78
0.0137699	91	77
0.0136091	93	76
0.0129967	92	75
0.0133867	98	74
0.0129578	88	73
0.0133917	91	72
0.0137085	100	71
0.0194891	99	70
0.0156248	97	69
0.0134634	105	68
0.0134435	102	67
0.0134299	85	66
0.0135621	96	65
0.0140248	116	64
0.0128952	89	63
0.018803	93	62
0.0136362	103	61
0.0129926	86	60
0.013075	97	59
0.0134556	106	58
0.0194308	95	57
0.0138598	110	56
0.0132919	108	55
0.0188855	103	54
0.0139828	102	53
0.0131489	99	52
0.0136126	115
number of tracks: 50
0.0131824	103	103
0.0184566	78	103
0.013786	95	103
0.0138039	87	103
0.0189636	96	103
0.0139515	93	103
0.013247	100	103
0.0129335	88	103
0.0138868	84	103
0.0191599	94	103
0.0133703	88	103
0.0130618	89	103
0.0193568	109	103
0.0143692	110	103
0.0142826	107	103
0.0133523	108	103
0.0133722	105	103
0.0192346	89	103
0.0141875	104	103
0.0133894	103	103
0.0194009	107	103
0.0140578	97	103
0.0131279	86	103
0.0199198	110	103
0.0208476	110	103
0.0130742	95	103
0.0150827	106	103
0.0144235	104	103
0.0131413	92	102
0.0133472	108	101
0.0132412	104	100
0.0134732	105	99
0.0193171	102	98
0.0138473	90	96
0.014561	101	94
0.0133798	88	92
0.0146519	107	90
0.0131902	94	88
0.013405	97	86
0.0133313	96	83
0.0195236	103	79
0.0140507	129	75
0.0133308	102	71
0.0134486	103	67
0.0137935	125	63
0.013373	102	59
0.0132802	100	55
0.0137755	111	51
0.0196411	114	47
0.0140857	97
number of tracks: 50
0.0132471	108	108
0.0133858	112	108
0.013662	121	108
0.0144333	132	108
0.015143	119	108
0.0134753	113	108
0.013636	129	108
0.0134216	120	108
0.0186372	119	108
0.014485	129	108
0.0136016	128	108
0.0186855	102	108
0.0141102	98	108
0.0137822	104	108
0.0131448	87	108
0.0132379	104	108
0.01847	100	108
0.0139596	113	108
0.0141749	106	108
0.0187729	112	108
0.0139337	138	107
0.015511	110	106
0.0135364	125	105
0.0137177	115	104
0.0199752	121	103
0.0137072	119	102
0.0138693	114	101
0.0188575	122	100
0.014123	115	99
0.0141007	122	98
0.0137134	122	97
0.0138565	133	96
0.0188667	123	95
0.0204096	115	94
0.0212303	117	93
0.0137029	131	91
0.0137734	107	88
0.0140051	131	85
0.0145671	128	82
0.0136923	129	79
0.0193361	132	74
0.0186235	91	69
0.0144486	107	64
0.013317	112	59
0.0132454	94	54
0.0135926	109	48
0.0136817	124	42
0.0135812	111	35
0.0190194	119	28
0.0190476	110
number of tracks: 50
0.0144505	119	119
0.0143445	110	119
0.0139665	145	119
0.0137522	123	119
0.0134526	113	119
0.0139053	129	119
0.0190191	127	119
0.0203654	135	119
0.0147877	125	119
0.013866	131	119
0.0140307	135	119
0.013891	136	119
0.0140456	139	119
0.0149694	146	119
0.0181188	147	119
0.0208453	148	119
0.0146436	122	119
0.0144197	156	118
0.0140287	138	117
0.0142033	140	116
0.0140518	144	115
0.0135796	112	114
0.0135145	116	113
0.0208325	113	112
0.0209978	120	111
0.0133629	114	110
0.0142561	134	109
0.0139331	149	108
0.0138696	146	107
0.0141035	145	106
0.0141563	163	105
0.0198596	157	104
0.0145905	155	103
0.014601	154	102
0.0145543	170	101
0.0142863	158	100
0.014541	169	99
0.0145564	183	98
0.0149203	174	97
0.020981	168	96
0.0147964	187	95
0.0146506	167	94
0.0145439	182	93
0.0153164	154	92
0.016434	171	91
0.0158529	196	90
0.0203454	178	89
0.0149528	191	88
0.0155549	179	86
0.0144288	174
number of tracks: 50
0.0198895	170	170
0.0140225	140	170
0.0141123	146	170
0.014073	138	170
0.0196119	153	170
0.0151026	159	170
0.0140851	144	170
0.0142597	151	170
0.0201738	147	170
0.0149701	151	170
0.0143151	158	170
0.0142462	156	170
0.01964	132	170
0.0145721	136	170
0.0152357	135	170
0.0142537	139	170
0.0199966	142	170
0.015047	146	170
0.0138777	131	170
0.0141065	147	170
0.0199941	163	170
0.0148002	141	170
0.0141692	152	170
0.0139887	144	170
0.0161453	163	170
0.0154814	156	170
0.0151586	156	170
0.0144989	162	170
0.0141279	148	170
0.014268	163	170
0.0144801	166	170
0.0137661	129	170
0.0137371	134	170
0.0138461	133	170
0.0137048	136	170
0.0137479	142	170
0.0137793	142	170
0.0140266	167	170
0.0138111	157	170
0.0140126	163	170
0.0144743	179	170
0.0144563	177
