[INFO] Fast + FREAK on CPU
	78
0.00388555	70	78
0.00296873	63	78
0.00553975	65	78
0.00243767	64	78
0.00282264	74	78
0.00314541	64	78
0.00297969	63	78
0.00322996	58	78
0.00323496	71	78
0.00480849	69	78
0.0032801	68	78
0.00371528	63	78
0.00271042	71	78
0.00593956	66	78
0.00275617	70	78
0.00503994	62	78
0.00583136	59	78
0.00286877	67	78
0.00243322	63	78
0.00389473	76	78
0.00636381	61	78
0.00248417	64	78
0.00278134	57	78
0.00344379	66	78
0.00433538	74	78
0.00272267	72	78
0.00276683	87	78
0.00509022	76	78
0.00278222	71	78
0.00348021	81	78
0.00274397	56	78
0.00292214	72	78
0.00476389	65	78
0.00278027	79	78
0.00340968	78	78
0.00309147	75	78
0.00308781	75	78
0.00449078	70	77
0.00340963	77	76
0.002564	84	75
0.00299934	85	74
0.00310445	83	73
0.00323472	105	72
0.00304855	93	71
0.00451522	76	70
0.00332621	90	69
0.00262764	82	68
0.00591964	87	67
0.00312228	91
number of tracks: 50
0.00297127	82	82
0.00292222	92	82
0.00257122	87	82
0.00548238	96	82
0.00286272	98	82
0.00664817	100	82
0.0029495	87	82
0.00351849	83	82
0.0048658	81	82
0.00303257	89	82
0.00324213	109	82
0.00260242	64	82
0.00569148	80	82
0.00428252	87	82
0.00252705	69	82
0.00341367	76	82
0.00333181	87	82
0.0030157	91	82
0.00295391	85	82
0.00265155	80	82
0.00518239	84	82
0.00299917	91	82
0.00285234	90	82
0.00341243	96	82
0.00362402	77	82
0.00315027	76	82
0.00283996	80	82
0.00576152	96	82
0.0027627	74	82
0.00316019	81	82
0.00303996	86	82
0.00434327	89	82
0.00280141	89	82
0.00261903	91	82
0.00357984	85	82
0.00264978	78	82
0.00300793	82	82
0.00518473	94	82
0.00423294	83	82
0.00272424	95	82
0.00280573	104	82
0.0029673	66	82
0.00345389	75	82
0.00280281	79	82
0.00303861	82	82
0.00396312	93	82
0.00260286	86	82
0.00298463	88	82
0.00564896	84	81
0.00341817	96
number of tracks: 50
0.0028414	90	90
0.00348499	105	90
0.00854088	95	90
0.00269388	100	90
0.0066755	96	90
0.00294007	93	90
0.00372243	88	90
0.00311015	89	90
0.00293439	87	90
0.00417778	92	90
0.00350235	92	90
0.00299983	98	90
0.00495465	86	90
0.00267595	100	90
0.00279595	97	90
0.00334989	100	90
0.00434601	99	90
0.0033136	107	90
0.00311365	111	90
0.0030924	97	90
0.002994	113	90
0.00649654	98	90
0.00286701	90	90
0.00656693	95	90
0.00323299	106	90
0.00358212	90	90
0.00322064	94	90
0.00370704	97	90
0.00303701	95	90
0.00296744	112	90
0.00357152	107	90
0.00311789	105	90
0.00509334	114	90
0.003661	124	90
0.00288819	98	90
0.0033774	110	90
0.0047741	118	90
0.00312616	117	90
0.00271671	99	90
0.00472278	113	90
0.00339248	92	90
0.003178	102	90
0.00317812	110	89
0.00451667	109	88
0.00334239	99	87
0.00281709	115	86
0.00662818	110	85
0.00314368	115	84
0.00590616	115	83
0.00299823	122
number of tracks: 50
0.00348064	130	130
0.00350409	105	130
0.00269558	103	130
0.00501232	101	130
0.00271291	95	130
0.00336577	112	130
0.00349024	116	130
0.00435633	122	130
0.00301197	104	130
0.00287844	109	130
0.00533578	98	130
0.00314171	119	130
0.00304517	130	130
0.00361139	120	130
0.00440994	133	130
0.00355755	113	129
0.00309931	114	128
0.00439662	121	127
0.00299343	117	126
0.00339953	126	125
0.00330448	112	124
0.00310684	114	123
0.00363317	120	122
0.00513311	120	121
0.00306525	133	120
0.00268022	113	119
0.00581383	134	118
0.0025722	125	117
0.0032803	116	115
0.00364932	128	113
0.00454479	167	111
0.00389881	113	109
0.00467639	103	107
0.00351098	110	104
0.00410456	110	101
0.0045176	120	98
0.00282382	113	95
0.00624286	120	92
