[INFO] Harris + BRIEF on CPU
	20
0.0842153	20	20
0.0759476	6	20
0.068365	23	20
0.0714176	42	20
0.0682432	13	20
0.0677438	4	20
0.0667833	6	20
0.0689677	4	20
0.0664195	10	20
0.0573462	101	20
0.0641533	25	20
0.0757585	11	20
0.062484	24	20
0.072215	278	20
0.0648094	16	20
0.0618432	55	20
0.057173	13	20
0.0708091	7	20
0.0723759	163	20
0.0646999	206	20
0.0758262	93	20
0.0672176	13	20
0.0775757	14	20
0.0806471	20	20
0.0715305	66	20
0.0794593	7	20
0.0680729	124	20
0.0702204	30	20
0.0649755	76	20
0.0701357	115	20
0.0671062	85	20
0.0667858	26	20
0.0741861	43	20
0.058426	35	20
0.0582997	12	20
0.0762147	23	20
0.0524644	17	20
0.0638238	29	20
0.0703604	5	20
0.0548138	89	20
0.070309	8	20
0.077388	36	20
0.0666933	10	20
0.0671136	10	20
0.0649254	8	20
0.0770948	17	20
0.0772044	21	20
0.0676421	136	20
0.0716475	24
number of tracks: 50
0.0670337	6	6
0.0650019	38	6
0.060597	10	6
0.0592861	13	6
0.0648598	27	6
0.06512	6	6
0.049044	7	6
0.0664023	13	6
0.0733058	8	6
0.0551677	12	6
0.0578794	22	6
0.0676023	34	6
0.0565352	20	6
0.0547996	29	6
0.0621112	96	6
0.0689676	36	6
0.0670726	24	6
0.0668907	47	6
0.0711354	22	6
0.048832	18	6
0.0620767	4	6
0.0686715	13	6
0.056014	5	6
0.0554788	8	6
0.0644539	3	6
0.0680763	8	6
0.0518504	23	6
0.0511804	8	6
0.0672233	31	6
0.0710239	27	6
0.0743164	128	6
0.0647944	10	6
0.0641062	23	6
0.0661407	19	6
0.0728221	13	6
0.0701212	34	6
0.0771561	10	6
0.0737947	16	6
0.06048	6	6
0.0665343	23	6
0.0585383	57	6
0.0714729	21	6
0.0664511	19	6
0.071762	7	6
0.0709785	5	6
0.0689923	10	6
0.0699015	20	6
0.0516231	27	6
0.0630896	11	6
0.0705745	8
number of tracks: 50
0.0650728	92	92
0.0483816	23	92
0.0594131	21	92
0.0692323	18	92
0.0511034	7	92
0.0531624	17	92
0.0702105	81	92
0.0780934	13	92
0.0632543	5	92
0.0727593	41	92
0.0686524	33	92
0.0638227	16	92
0.0623261	13	92
0.0688433	17	92
0.0707584	3	92
0.0691481	9	92
0.0787333	4	92
0.0743137	13	92
0.0691938	9	92
0.051152	13	92
0.06034	15	92
0.0682245	13	92
0.0688684	8	91
0.0654529	4	90
0.0701985	4	89
0.0717344	20	88
0.0702002	14	87
0.0671764	18	86
0.0554625	6	85
0.0562277	30	84
0.0644798	15	83
0.0636828	55	82
0.0546304	37	81
0.0549415	153	80
0.0682764	11	79
0.0648153	17	78
0.0826155	315	77
0.0771551	107	76
0.0489217	54	75
0.0538578	35	74
0.0646066	11	73
0.0773395	14	72
0.0566109	3	71
0.051866	31	70
0.0673987	40	69
0.0518022	42	68
0.061606	11	67
0.0716732	7	66
0.0715562	19	65
0.0712166	20
number of tracks: 50
0.0747442	22	22
0.0701441	9	22
0.065479	20	22
0.0682254	5	22
0.0733049	37	22
0.0714811	6	22
0.0613348	8	22
0.0552963	1	22
0.060673	1	22
0.0696183	6	22
0.0674554	2	22
0.0661508	13	22
0.0667668	5	22
0.0608347	4	22
0.0594421	13	22
0.0643002	5	22
0.0693514	18	22
0.0704769	7	22
0.0671067	22	22
0.0644341	9	22
0.0609865	152	22
0.0613103	13	22
0.0670912	8	22
0.0723028	13	22
0.0632482	6	22
0.068707	73	22
0.0567798	44	21
0.0764709	53	20
0.0690667	122	18
0.0596124	48	16
0.0632957	32	14
0.0768752	58	12
0.0638535	85	10
0.0688619	73	8
0.0606871	26	6
0.0692028	11	4
0.0614763	10	2
0.064392	11	0
0.066398	18	0
0.0689605	5	0
0.0644017	7	0
0.0535414	9	0
0.0564599	8	0
0.059028	11	0
0.0629489	22	0
