[INFO] Harris + FREAK on CPU
	21
0.0420381	20	21
0.0359227	6	21
0.0368525	23	21
0.0354772	43	21
0.0350492	13	21
0.0351923	4	21
0.035166	6	21
0.0352349	4	21
0.0393609	10	21
0.0484794	102	21
0.0469243	25	21
0.0557702	11	21
0.0486653	24	21
0.0492164	287	21
0.0362096	16	21
0.0354743	56	21
0.0351056	13	21
0.0359408	7	21
0.0370722	166	21
0.043556	211	21
0.0404472	94	21
0.038647	13	21
0.0457081	14	21
0.0388324	20	21
0.0382944	66	21
0.03736	7	21
0.0461693	125	21
0.0378714	30	21
0.037792	76	21
0.0394621	115	21
0.0398332	85	21
0.0399258	26	21
0.0389761	43	21
0.0374156	35	21
0.0394225	12	21
0.0364899	23	21
0.035181	17	21
0.0351737	29	21
0.0354746	5	21
0.0361862	90	21
0.0366339	8	21
0.0592772	36	21
0.0551646	10	21
0.0510125	10	21
0.0533882	8	21
0.0507731	17	21
0.0474629	21	21
0.0494324	136	21
0.0405571	24
number of tracks: 50
0.0357426	6	6
0.0350942	39	6
0.0351834	10	6
0.0353598	13	6
0.0404258	28	6
0.050729	6	6
0.05051	7	6
0.0462195	13	6
0.0483443	8	6
0.0403144	12	6
0.0358177	22	6
0.0356643	34	6
0.0355377	20	6
0.0354817	30	6
0.0369104	97	6
0.0358951	36	6
0.0383553	24	6
0.0451831	49	6
0.0365646	22	6
0.0351608	18	6
0.0352713	4	6
0.0354671	13	6
0.0349209	5	6
0.0353472	8	6
0.0353257	3	6
0.0364578	8	6
0.0362856	23	6
0.0369073	8	6
0.0364568	31	6
0.0432423	27	6
0.0392507	128	6
0.0352711	10	6
0.0350814	23	6
0.0353896	19	6
0.0367436	13	6
0.0359418	34	6
0.0357689	10	6
0.0362107	16	6
0.0362983	6	6
0.037688	23	6
0.0366847	58	6
0.0356745	21	6
0.0359565	19	6
0.0352541	7	6
0.0356976	5	6
0.0358208	11	6
0.0355841	22	6
0.0359949	27	6
0.0373872	11	6
0.0537884	8
number of tracks: 50
0.0595645	93	93
0.0544059	23	93
0.0480457	21	93
0.0381165	18	93
0.0429347	7	93
0.0412403	17	93
0.0520935	81	93
0.0513531	13	93
0.0505037	5	93
0.0383943	41	93
0.0380094	33	93
0.0362867	16	93
0.0362772	13	93
0.0421845	17	93
0.0354685	3	93
0.038137	9	93
0.0373733	4	93
0.0412763	13	93
0.0366417	9	93
0.0356869	13	93
0.0361321	15	93
0.040394	13	93
0.0378961	8	92
0.0389512	4	91
0.0396421	4	90
0.0357759	20	89
0.0375119	14	88
0.0364405	18	87
0.0470319	6	86
0.0365617	30	85
0.0393905	15	84
0.0363855	55	83
0.0359705	37	82
0.0357623	154	81
0.0357668	11	80
0.0367893	17	79
0.0399935	319	78
0.0356261	107	77
0.0353293	54	76
0.0370408	35	75
0.035414	11	74
0.0354526	14	73
0.0346039	3	72
0.0378128	31	71
0.037115	40	70
0.0350676	42	69
0.0349961	11	68
0.0350722	7	67
0.0370654	19	66
0.0356729	21
number of tracks: 50
0.0358511	23	23
0.0444691	10	23
0.0358271	21	23
0.0353164	5	23
0.0348789	37	23
0.0350847	6	23
0.0348606	8	23
0.0396726	1	23
0.0358588	1	23
0.0349022	6	23
0.0350676	2	23
0.0427342	14	23
0.0507999	5	23
0.0512446	4	23
0.0377516	13	23
0.0381738	5	23
0.0373199	19	23
0.0370198	7	23
0.0409708	23	23
0.0380124	9	23
0.0391937	153	23
0.0356487	13	23
0.0359868	8	23
0.0395281	13	23
0.0441355	6	23
0.050811	75	23
0.046775	45	22
0.040084	53	21
0.0366718	124	19
0.0417489	51	17
0.0372705	34	15
0.0484496	60	13
0.038785	87	11
0.0383159	74	9
0.0374775	26	7
0.0381869	12	5
0.0360449	10	3
0.04077	11	1
0.0367942	19	0
0.0352119	5	0
0.0359092	7	0
0.0410624	9	0
0.0403434	8	0
0.0391431	11	0
0.035806	23	0
0.036096	7	0
0.0355511	27	0
0.0422122	7	0
0.0361512	7	0
0.0350785	5
number of tracks: 50
0.0351792	10	10
0.0467218	6	10
0.0489423	1	10
0.0377936	9	10
0.035168	4	10
0.0358001	4	10
0.034929	5	10
0.0358106	6	10
0.0360011	8	10
0.0354831	10	10
0.0416634	26	10
0.0369038	23	10
0.0428231	25	10
0.0374475	20	10
0.0350076	26	10
0.0353607	7	10
0.0350689	23	10
0.0352688	10	10
0.0357544	15	10
0.0353041	24	10
0.0358798	30	10
0.0354609	37	10
0.035768	7	10
0.0364692	10	10
0.0361176	18	10
0.0360559	12	10
0.0413888	19	10
0.0384305	12	10
0.0430568	5	10
0.0542866	11	10
0.0348808	7	10
0.0364174	3	10
0.0389248	15	10
0.0465095	6	10
0.0371838	3	10
0.0512477	6	10
0.039708	8	10
0.0403058	16	10
0.0396102	26	10
0.0446958	5	10
0.0407442	59	10
0.0382314	3	10
0.0390299	21	10
0.0378189	11	10
0.0361397	4	10
0.0365793	6	9
0.0364901	6	8
0.0360224	3	7
0.037388	2	5
0.0360648	5
number of tracks: 50
0.0353262	10	10
0.0361571	29	10
0.0368831	3	10
0.0379431	56	10
0.0422244	7	10
0.0362605	10	10
0.0442533	12	10
0.0419474	9	10
0.0530383	9	10
0.0638979	6	10
0.0647208	50	10
0.0640616	11	10
0.0510422	3	10
0.0522361	27	10
0.043793	182	10
0.0422835	4	10
0.0412074	1	10
0.0454553	2	10
0.0414886	36	10
0.0372597	12	10
0.0364222	29	10
0.0404759	13	10
0.0360708	51	10
0.0353447	12	10
0.0362232	7	10
0.0384444	39	10
0.0367581	9	10
0.0407885	11	10
0.0413806	4	10
0.0407881	5	10
0.0396614	3	10
0.0371095	3	10
0.0371672	7	10
0.0384746	40	10
0.0422919	2	10
0.0397552	7	10
0.0390807	2	10
0.0511733	7	10
0.0385707	13	10
0.0486935	4	10
0.0386425	3	10
0.0410543	2	10
0.0536521	804	10
0.0460145	21	10
0.0375264	33	10
0.0907297	1230	10
0.0500407	174	10
0.0498518	103	10
0.0805058	981	10
0.0399437	45
number of tracks: 50
0.038397	100	100
0.0422091	77	100
0.0422194	453	100
0.451574	3465	100
0.0413392	69	100
0.0446706	8	100
0.054189	302	100
0.0544094	115	100
0.0547683	253	100
0.055081	372	100
0.0496069	70	100
0.0474973	37	100
0.0529503	381	100
0.0583297	371	100
0.0373426	159	100
0.0377885	202	100
0.0565207	904	100
0.0373274	182	100
0.0385365	119	100
0.0366969	5	100
0.0364164	83	100
0.0359328	105	100
0.0413384	58	100
0.0420503	6	100
0.044214	8	100
0.0359476	21	100
0.0372056	11	100
0.0380899	8	100
0.0354564	9	100
