[INFO] ORB on CPU
	30
0.0827867	30	30
0.087216	30	30
0.0853339	30	30
0.0964827	30	30
0.0875353	30	30
0.0944909	30	30
0.0989041	30	30
0.0861823	30	30
0.0863577	30	30
0.0884716	30	30
0.0838912	30	30
0.086827	30	30
0.0907117	30	30
0.100458	30	30
0.0837312	30	30
0.0958465	30	30
0.0977872	30	30
0.0910646	30	30
0.0896961	30	30
0.0938532	30	30
0.0858818	30	30
0.0889341	30	30
0.0817795	30	30
0.0847589	30	30
0.0846993	30	30
0.0862882	30	30
0.0866316	30	30
0.10885	30	30
0.105987	30	30
0.094918	30	30
0.0979372	30	30
0.0923233	30	30
0.0920999	30	30
0.104911	30	30
0.0973763	30	30
0.0920338	30	30
0.0847671	30	30
0.0880088	30	30
0.0914721	30	30
0.0874737	30	30
0.0830609	30	30
0.0828181	30	30
0.0841705	30	30
0.0915267	30	30
0.0883565	30	30
0.0895457	30	30
0.0913327	30	30
0.0944149	30	30
0.0995884	30
number of tracks: 50
0.096866	30	30
0.0893035	30	30
0.095129	30	30
0.092704	30	30
0.101529	30	30
0.102503	30	30
0.0969563	30	30
0.0917565	30	30
0.0947801	30	30
0.0923683	30	30
0.0962696	30	30
0.0949749	30	30
0.0895801	30	30
0.0915414	30	30
0.100172	30	30
0.0949414	30	30
0.0926926	30	30
0.0965867	30	30
0.0969904	30	30
0.0979075	30	30
0.092071	30	30
0.0904932	30	30
0.10262	30	30
0.0966893	30	30
0.0938267	30	30
0.0955114	30	30
0.0921131	30	30
0.0947418	30	30
0.101278	30	30
0.0991868	30	30
0.094232	30	30
0.1227	30	30
0.100582	30	30
0.103222	30	30
0.0943369	30	30
0.110829	30	30
0.106641	30	30
0.0923282	30	30
0.0956934	30	30
0.0987035	30	30
0.0930196	30	30
0.0969458	30	30
0.0930993	30	30
0.0919004	30	30
0.0906784	30	30
0.0948682	30	30
0.100225	30	30
0.0906717	30	30
0.0970275	30	29
0.0892062	30
number of tracks: 50
0.0917522	30	30
0.0902192	30	30
0.0994385	30	30
0.0900204	30	30
0.094218	30	30
0.0958795	30	30
0.0944349	30	30
0.100743	30	30
0.0956813	30	30
0.0984705	30	30
0.0955234	30	30
0.0926587	30	30
0.094797	30	30
0.0941276	30	30
0.0990315	30	30
0.0932944	30	30
0.0887268	30	30
0.108272	30	30
0.103378	30	30
0.0912129	30	30
0.0942419	30	30
0.0935633	30	30
0.0943136	30	30
0.0900619	30	30
0.096909	30	30
0.0937746	30	30
0.0986612	30	30
0.0995036	30	30
0.102576	30	30
0.0924485	30	30
0.100431	30	30
0.0983956	30	30
0.100341	30	30
0.0941284	30	30
0.0950105	30	30
0.100734	30	30
0.0970527	30	30
0.10314	30	30
0.098496	30	30
0.109707	30	30
0.0974687	30	30
0.0926612	30	30
0.100742	30	30
0.0988308	30	30
0.102872	30	30
0.0981738	30	30
0.0899308	30	30
0.0861437	30	30
0.0857462	30	30
0.0876551	30
number of tracks: 50
0.0861446	30	30
0.0839326	30	30
0.0888874	30	30
0.089776	30	30
0.0894697	30	30
0.0899895	30	30
0.0898246	30	30
0.0954939	30	30
0.0862869	30	30
0.0861153	30	30
0.0874178	30	30
0.0846838	30	30
0.0918453	30	30
0.0842053	30	30
0.0898238	30	30
0.0867419	30	30
0.0866092	30	30
0.0917113	30	30
0.0879886	30	30
0.0889499	30	30
0.0977396	30	30
0.0917664	30	30
0.0906302	30	30
0.0888677	30	30
0.0898527	30	30
0.0931722	30	30
0.0935191	30	30
0.0908903	30	30
0.0882338	30	30
0.0977374	30	30
0.0975966	30	30
0.090055	30	30
0.0934887	30	30
0.0922451	30	30
0.0859577	30	30
0.089643	30	30
0.0851641	30	30
0.0941861	30	30
0.0989697	30	30
0.0897722	30	30
0.0902225	30	30
0.093739	30	30
0.0918772	30	30
0.102687	30	30
0.0935354	30	30
0.102629	30	30
0.0951621	30	30
0.102282	30	30
0.109959	30	30
0.0982866	30
number of tracks: 50
0.0990632	30	30
0.108398	30	30
0.100573	30	30
0.0974051	30	30
0.104115	30	30
0.0993587	30	30
0.10448	30	30
0.10468	30	30
0.107261	30	30
0.099147	30	30
0.0916205	30	30
0.0898346	30	30
0.091098	30	30
0.0994645	30	30
0.0841549	30	30
0.0935438	30	30
0.0992848	30	30
0.10615	30	30
0.104594	30	30
0.104975	30	30
0.107124	30	29
0.104761	30	28
0.0957263	30	27
0.0987761	30	26
0.111693	30	25
0.101154	30	24
0.110334	30	23
0.100364	30	22
0.0918131	30	21
0.101919	30	20
0.107785	30	19
0.105287	30	18
0.113391	30	17
0.0952099	30	16
0.101306	30	15
0.0953824	30	14
0.0914672	30	13
0.106772	30	12
0.106245	30	11
0.0976443	30	10
0.101198	30	9
0.103423	30	8
0.0898851	30	7
0.091053	30	6
0.0920729	30	5
0.0937195	30	4
0.0927296	30	3
0.0922101	30	2
0.0945634	30	1
0.0916378	30
number of tracks: 50
0.090757	30	30
0.0893838	30	30
0.102138	30	30
0.104398	30	30
0.106498	30	30
0.10204	30	30
0.0984414	30	30
0.101235	30	30
0.109885	30	30
0.114818	30	30
0.108377	30	30
0.0989115	30	30
0.107228	30	30
0.108841	30	30
0.105452	30	30
0.112908	30	30
0.1306	30	30
0.143898	30	30
0.169423	30	30
0.193277	30	30
0.214191	30	30
0.122823	30	30
0.103112	30	30
0.10485	30	30
0.102657	30	30
0.0980087	30	30
0.105209	30	30
0.109365	30	30
0.112846	30	30
0.101016	30	30
0.0991025	30	30
0.0995977	30	30
0.105847	30	30
0.102115	30	30
0.103218	30	30
0.105638	30	30
0.108184	30	30
0.106705	30	30
0.104251	30	30
0.108122	30	30
0.10729	30	30
0.103388	30	30
0.101508	30	30
0.108523	30	30
0.102141	30	30
0.102933	30	30
0.106448	30	30
0.110721	30	30
0.105612	30	30
0.110153	30
number of tracks: 50
0.108609	30	30
0.101264	30	30
0.0991051	30	30
0.105125	30	30
0.100079	30	30
0.115301	30	30
0.105158	30	30
0.105531	30	30
0.104596	30	30
0.103703	30	30
