[INFO] Shi-Tomasi + FREAK on CPU
	10
0.0621634	7	10
0.0526327	6	10
0.0539003	5	10
0.0538532	17	10
0.0548209	8	10
0.0512311	6	10
0.0532928	6	10
0.0624476	11	10
0.0649088	10	10
0.0587624	12	10
0.0569316	26	10
0.0487714	6	10
0.0528524	10	10
0.0503638	26	10
0.0511581	5	10
0.0504044	8	10
0.0498059	9	10
0.0487841	7	10
0.05092	13	10
0.0514617	11	10
0.0550874	6	10
0.0508466	14	10
0.0503372	13	10
0.0624489	12	10
0.0570119	14	10
0.0585351	7	10
0.0537076	19	10
0.0529757	9	10
0.0515656	15	10
0.0511985	9	10
0.0507943	17	10
0.0520581	12	10
0.0547199	11	10
0.0516527	15	10
0.0507949	4	10
0.0498607	23	10
0.0505617	9	10
0.0509744	17	10
0.0511891	12	10
0.0523132	15	10
0.0514439	13	10
0.0509501	19	10
0.0482893	7	10
0.0527959	20	10
0.0508358	9	10
0.0531476	21	10
0.05284	8	10
0.0523316	17	10
0.057847	19
number of tracks: 50
0.0537457	14	14
0.0499747	13	14
0.0512483	13	14
0.0569347	13	14
0.05323	13	14
0.0503145	9	14
0.0525817	6	14
0.057306	16	14
0.0525643	25	14
0.0492128	12	14
0.0499835	8	14
0.0522879	16	14
0.050962	8	14
0.0511556	11	14
0.0494613	20	14
0.0555789	16	14
0.0529691	16	14
0.0533976	15	14
0.0522484	10	14
0.0566914	8	14
0.0504228	5	14
0.0559774	7	14
0.0529163	12	14
0.0596274	4	14
0.0614592	8	14
0.0597096	16	14
0.0639312	10	14
0.0613343	10	14
0.0649607	20	14
0.0682578	16	14
0.06842	12	14
0.0619407	14	14
0.0619122	7	14
0.0615781	7	14
0.0686164	5	14
0.0655235	11	14
0.0602074	10	14
0.0650292	9	14
0.063128	10	14
0.0658341	17	14
0.0614061	7	14
0.0621724	11	14
0.0706038	9	14
0.0651487	9	14
0.0651008	31	14
0.0613743	16	14
0.0658665	12	14
0.0645527	10	14
0.0760267	7	14
0.0666303	16
number of tracks: 50
0.0694032	18	18
0.0598193	5	18
0.06571	5	18
0.0629928	13	18
0.0654917	5	18
0.0694081	5	18
0.0611174	16	18
0.0638602	7	18
0.0658708	7	18
0.0620571	15	18
0.0668933	7	18
0.0671681	9	18
0.0665478	14	18
0.0618582	7	18
0.0612244	8	18
0.0635684	12	18
0.0677591	9	18
0.0585368	13	18
0.065887	14	18
0.0629765	11	18
0.0686592	10	18
0.0604019	18	18
0.0647972	9	17
0.0738477	9	16
0.0694444	18	15
0.0648845	17	15
0.0651843	16	15
0.0649963	20	15
0.0677412	16	15
0.0686885	25	15
0.06249	38	15
0.0617245	16	15
0.0704948	18	15
0.0668526	21	15
0.0669996	16	15
0.0673646	17	15
0.0718246	40	15
0.0670415	10	15
0.0619912	22	15
0.0674191	27	15
0.0721989	25	15
0.0634965	20	15
0.0659398	15	15
0.0691761	7	15
0.0682767	13	15
0.0613635	28	15
0.0650606	14	15
0.0614823	10	15
0.0652979	16	15
0.0606682	12
number of tracks: 50
0.0640171	10	10
0.0660236	14	10
0.065816	13	10
0.050149	11	10
0.0513648	14	10
0.0569613	32	10
