[INFO] Star + BRIEF on CPU
	83
0.0611141	83	83
0.0673542	83	83
0.0633117	82	83
0.0620615	96	83
0.0721375	92	83
0.0633912	98	83
0.0561643	100	83
0.0576114	107	83
0.0770275	100	83
0.0724276	110	83
0.0621231	114	83
0.0626002	107	83
0.0535831	106	83
0.057265	104	83
0.0639121	106	83
0.064969	107	83
0.0638612	105	83
0.0718704	99	83
0.0646777	117	83
0.0641648	117	83
0.0622522	110	83
0.077899	122	83
0.0617527	117	83
0.0649592	110	83
0.0639693	116	83
0.07035	117	83
0.0639076	114	83
0.064603	116	83
0.0652492	116	83
0.0660045	107	83
0.0619279	114	83
0.0663971	120	83
0.0709581	113	83
0.0732144	113	83
0.0654653	127	83
0.0652243	122	83
0.0890521	127	83
0.0724878	135	83
0.0827937	132	83
0.0721032	129	83
0.0650732	133	83
0.0654969	136	83
0.0677626	129	83
0.0690619	142	83
0.0663522	133	83
0.0732554	147	83
0.0740571	135	83
0.0719938	140	83
0.0628429	140
number of tracks: 50
0.0770657	146	146
0.0643135	142	146
0.067404	149	146
0.0627338	146	146
0.0656573	148	146
0.07388	156	146
0.0786089	145	146
0.0766955	144	146
0.0765785	147	146
0.0632165	145	146
0.0700817	128	146
0.0629479	121	146
0.0646961	139	146
0.069626	150	146
0.0623123	153	146
0.0630812	153	146
0.0714512	154	146
0.0675038	146	146
0.063232	154	146
0.0674278	141	146
0.0736349	162	146
0.0667552	159	146
0.0658875	172	146
0.0710158	175	146
0.0644025	171	146
0.0634415	170	146
0.0646947	171	146
0.0555112	175	146
0.0541058	172	146
0.0559069	174	146
0.0517758	170	146
0.0645405	161	146
0.0596595	178	146
0.0539113	183	146
0.0551395	174	146
0.0537628	163	146
0.0538226	165	146
0.0518847	173	146
0.060588	168	146
0.0607137	166	146
0.062487	146	146
0.0568869	157	146
0.0545954	156	146
0.0549212	158	146
0.0539022	158	146
0.0542959	161	146
0.0554282	154	144
0.055978	157	140
0.0602529	161	136
0.0571878	167
number of tracks: 50
0.0597714	171	171
0.0582311	172	171
0.0567347	169	171
0.0585629	173	171
0.0546015	182	171
0.0547047	177	171
0.0580096	180	171
0.0542655	175	171
0.0530063	182	171
0.0528268	176	171
0.0537	186	171
0.0527195	179	171
0.0536197	186	171
0.0562749	189	171
0.0574823	194	171
0.0542486	188	171
0.0607	186	171
0.0554359	196	171
0.0542163	196	171
0.0531197	198	171
0.0537584	171	171
0.0529975	170	171
0.058243	172	171
0.0541759	188	171
0.0545944	179	171
0.056066	186	171
0.0570055	184	171
0.0547493	192	171
0.0565652	183	171
0.0542571	191	171
0.0614447	185	171
0.0575093	191	171
0.0545481	184	171
0.0536343	191	171
0.055995	204	171
0.054673	191	171
0.0586975	201	171
0.0536481	192	171
0.0568883	188	171
0.0543588	195	171
0.0535837	193	171
0.0545094	193	171
0.0537307	191	171
0.0548711	189	171
0.0602462	199	171
0.0616126	200	171
0.0628509	195	171
0.0592065	196	171
0.0557862	190	171
0.0526804	190
number of tracks: 50
0.0548818	173	173
0.0543637	164	173
0.0582124	167	173
0.0615529	167	173
0.0567948	167	173
0.0546037	172	173
0.0552017	169	173
0.0551347	173	173
0.055612	161	173
0.0581882	176	173
0.0658013	170	173
0.0712638	177	173
0.0711278	185	173
0.0549689	190	173
0.0523467	187	173
0.0540566	189	173
0.0530887	193	173
0.0546811	194	173
0.0572325	186	173
0.054381	200	173
0.0569907	195	173
0.0551342	189	173
0.0532495	188	173
0.0543706	183	173
0.0555497	196	173
0.0534094	188	173
0.0630053	197	173
0.0535162	184	173
0.0574775	187	173
0.0529215	175	173
0.0546284	169	173
0.0538883	170	173
0.0527485	180	173
0.055659	180	173
0.0574308	176	173
0.0519279	184	173
0.0595231	196	173
0.0542162	183	173
0.0561197	192	173
0.0550375	188	173
0.0616677	198	173
0.0588506	190	173
0.058597	193	173
0.0546594	204	173
0.0547051	199	172
0.0532721	192	170
0.0539508	192	167
0.0520317	194	163
0.0554827	195	157
0.0564864	192
number of tracks: 50
0.059515	178	178
0.0525811	198	178
0.054313	194	178
0.0526146	194	178
0.054579	198	178
0.054733	200	178
0.0545769	198	178
0.0536593	197	178
0.0584437	200	178
0.0548176	194	178
0.0546124	190	178
0.0552669	183	178
0.0540202	178	178
0.054264	184	178
0.0551963	186	178
0.0550654	190	178
0.056964	190	178
0.0554947	185	178
0.0552949	191	178
0.0548034	186	178
0.0517412	192	178
0.0587057	190	178
0.0527501	200	178
0.0526605	198	178
0.0573693	199	178
0.05652	200	178
0.0557523	195	178
0.0566074	207	178
0.0519256	194	178
0.0586254	199	178
0.053688	203	178
0.0554967	203	178
0.0552399	213	178
0.0558981	208	178
0.0525166	209	178
0.0517359	209	178
0.0664204	204	178
0.0560298	203	178
0.05388	197	178
0.0522223	203	178
0.0553644	184	178
0.0539254	183	178
0.0513646	186	178
0.0526494	178	178
0.0525259	181	178
0.0524062	185	178
0.0535325	180	178
0.0545654	186	178
0.0554318	205	178
0.0539665	197
number of tracks: 50
0.0550529	187	187
0.0570618	198	187
0.0541544	201	187
0.0545146	201	187
0.0533856	198	187
0.0534672	194	187
0.0508398	195	187
0.0527832	199	187
0.0530507	195	187
0.0537643	201	187
0.0528181	202	187
0.0553749	205	187
0.05424	200	187
0.0546693	210	187
0.0548913	208	187
0.0535455	221	187
0.054598	217	187
