[INFO] Star + FREAK on CPU
	83
0.0633875	83	83
0.0573775	83	83
0.0553703	82	83
0.0542379	96	83
0.0574694	92	83
0.0563217	98	83
0.057749	100	83
0.063067	107	83
0.0547777	100	83
0.063858	110	83
0.0679189	113	83
0.0607984	106	83
0.0568723	105	83
0.0553016	104	83
0.0609423	105	83
0.0638802	106	83
0.0579839	105	83
0.057312	99	83
0.0579143	116	83
0.055951	116	83
0.0567757	109	83
0.0575518	121	83
0.0546282	116	83
0.0625749	110	83
0.0564262	115	83
0.055438	116	83
0.0594366	113	83
0.0551602	115	83
0.0540241	115	83
0.0555005	106	83
0.0542374	113	83
0.0813946	120	83
0.0850319	112	83
0.0662894	113	83
0.0600298	126	83
0.0550372	122	83
0.0531295	127	83
0.0523759	135	83
0.0522479	132	83
0.0611272	129	83
0.0523131	133	83
0.0529231	136	83
0.0532828	129	83
0.0528536	142	83
0.0527435	132	83
0.0544702	147	83
0.060248	134	83
0.0658435	140	83
0.0616039	138
number of tracks: 50
0.0562419	145	145
0.0536496	141	145
0.0508455	148	145
0.0522381	144	145
0.0527557	147	145
0.0583233	156	145
0.0525675	143	145
0.0507742	143	145
0.0517608	145	145
0.0506796	143	145
0.0525792	127	145
0.0512915	120	145
0.0510603	138	145
0.0510772	148	145
0.0523723	152	145
0.0530142	153	145
0.0534045	153	145
0.0535197	146	145
0.0516261	152	145
0.0544821	141	145
0.0535697	161	145
0.0624599	157	145
0.0529962	171	145
0.0527195	172	145
0.0536591	170	145
0.052881	169	145
0.0541837	168	145
0.0508144	174	145
0.0498812	172	145
0.0522513	173	145
0.0504751	170	145
0.0518593	161	145
0.0512128	178	145
0.0525338	182	145
0.0655873	173	145
0.0595162	162	145
0.0757869	165	145
0.0863862	173	145
0.0685579	168	145
0.0622259	166	145
0.0929083	146	145
0.0704707	157	145
0.0705889	156	145
0.0632796	158	145
0.0713373	158	145
0.0716201	161	145
0.0667687	154	144
0.0641388	157	141
0.065038	161	138
0.0622354	167
number of tracks: 50
0.0658511	171	171
0.0617244	172	171
0.0680073	169	171
0.0641539	173	171
0.0652007	182	171
0.0684588	177	171
0.0701234	180	171
0.0637598	175	171
0.0780466	182	171
0.0664091	176	171
0.061106	186	171
0.0644601	179	171
0.0646781	186	171
0.0760542	189	171
0.0660679	194	171
0.0761553	188	171
0.0654965	186	171
0.0725147	196	171
0.0639724	196	171
0.0750955	198	171
0.0652376	171	171
0.0624092	170	171
0.0686304	172	171
0.0644936	188	171
0.0674994	179	171
0.0648897	186	171
0.0751184	184	171
0.065571	192	171
0.0644368	183	171
0.0635287	191	171
0.0615537	185	171
0.0643247	191	171
0.0650743	183	171
0.063062	190	171
0.0673176	203	171
0.0669687	190	171
0.0632328	200	171
0.0707689	191	171
0.0653646	187	171
0.0624996	194	171
0.0614217	192	171
0.0640956	192	171
0.0664638	190	171
0.0723212	188	171
0.0631511	198	171
0.0661843	199	171
0.0662121	194	171
0.0677922	196	171
0.0655999	189	171
0.0620798	189
number of tracks: 50
0.0664099	172	172
0.0546628	164	172
0.0524561	166	172
0.0526577	166	172
0.0526047	167	172
0.0526768	171	172
0.0540243	168	172
0.0538482	172	172
0.0543914	161	172
0.0545467	176	172
0.0552604	170	172
0.0518833	177	172
0.0540701	185	172
0.0526273	190	172
0.0532007	187	172
0.0534969	189	172
0.062535	193	172
0.0532561	193	172
0.0543308	185	172
0.0533738	199	172
0.0541202	194	172
0.0539963	188	172
0.0544763	187	172
0.0559687	182	172
0.0557474	195	172
0.0539593	188	172
0.0536333	196	172
0.0528916	184	172
0.0524686	186	172
0.0527888	175	172
0.0539965	169	172
0.0570508	170	172
0.0590522	179	172
0.053297	179	172
0.0555701	176	172
0.054533	184	172
0.0539594	195	172
0.0536046	183	172
0.0542562	191	172
0.0535928	187	172
0.0503832	197	172
0.0519628	189	172
0.051715	192	172
0.0564091	203	172
0.0620394	199	171
0.0596038	192	169
0.0611548	192	166
0.0588664	194	163
0.0548727	195	158
0.0533511	192
number of tracks: 50
0.0553266	178	178
0.0621004	198	178
0.054105	194	178
0.0528919	194	178
0.0546923	198	178
0.0532342	200	178
0.0541489	198	178
0.053929	197	178
0.0558845	200	178
0.0673611	194	178
0.0608786	190	178
0.0594142	183	178
0.0564006	178	178
0.055773	184	178
0.0523032	186	178
0.0510455	190	178
0.052205	190	178
0.0505984	185	178
0.0516832	191	178
0.0504039	186	178
0.051445	192	178
0.0505737	190	178
0.0515713	200	178
0.0517286	198	178
0.0554614	199	178
0.0528512	200	178
0.0543567	195	178
0.0514857	207	178
0.0540508	194	178
0.057152	199	178
0.0704356	203	178
0.0539194	203	178
0.0561701	213	178
0.0603271	208	178
0.0585327	209	178
0.0567467	209	178
0.0579744	204	178
0.0571303	203	178
0.054384	197	178
0.0551962	203	178
0.0519526	184	178
0.0507692	183	178
0.0525763	186	178
0.0583502	178	178
0.0515937	181	178
0.0530919	185	178
0.0520094	180	178
0.0509074	186	178
0.0514345	205	178
0.0516197	197
number of tracks: 50
0.0516139	187	187
0.0533675	198	187
0.0551097	201	187
0.0548203	201	187
0.055178	198	187
0.0516526	194	187
0.0526123	195	187
0.0538313	199	187
0.0545874	195	187
0.0547214	201	187
0.0539023	202	187
0.0591559	205	187
0.0548445	200	187
0.0583925	210	187
0.0558772	208	187
0.0541929	221	187
0.0551256	217	187
0.0545075	211	187
0.0560383	214	187
0.0524454	207	187
0.0550061	196	187
0.0520838	191	187
0.0535751	201	187
0.0520574	195	187
0.0589429	203	187
0.0539072	208	187
0.0546471	212	187
0.0537556	198	187
0.0545143	198	187
0.0513976	209	187
0.0514209	196	187
0.0506375	207	187
0.0523027	213	187
0.0501376	217	187
0.0530611	222	187
0.0510535	217	187
0.0512965	214	187
0.050893	220	187
0.0533147	220	187
0.051043	232	187
0.0565753	232	187
0.0560696	244	187
0.0534967	232	187
0.0545179	227	187
0.0530016	236	187
0.0516192	247	187
0.0529374	247	187
0.052715	247	187
0.0518813	242	187
0.0521224	260
number of tracks: 50
0.0528079	204	204
0.0511694	222	204
0.053246	209	204
0.0536749	235	204
0.0542573	235	204
0.0530845	225	204
0.0585387	233	204
0.0542098	224	204
0.0549104	223	204
0.059283	222	204
0.0536604	232	204
0.0549932	236	204
0.0582494	232	204
0.0547008	231	204
0.0542448	228	204
0.0511047	235	204
0.0531172	245	204
0.0511407	231	204
0.0511023	224	204
0.0531827	233	204
0.0520637	218	204
0.0505143	218	204
0.0568285	224	204
0.0528986	225	204
0.0520564	230	204
0.0538272	223	204
0.0515257	208	204
0.0515612	226	204
0.0558978	240	204
0.0515109	241	204
0.0522981	221	204
0.0504966	216	204
0.0530185	208	204
0.051011	221	204
0.0532484	214	204
0.0512024	208	204
0.0524313	216	204
0.0520356	227	204
0.0542759	214	204
0.0519974	235	204
0.0527552	228	204
0.0513958	229
