[INFO] ORB on CUDA
	30
0.0145348	30	30
0.0147186	30	30
0.0142681	30	30
0.0143579	30	30
0.0144033	30	30
0.0150064	30	30
0.0144619	30	30
0.0142616	30	30
0.0143652	30	30
0.0150401	30	30
0.013373	30	30
0.0133433	30	30
0.0133865	30	30
0.0139748	30	30
0.0134325	30	30
0.0133945	30	30
0.0135491	30	30
0.0124433	30	30
0.011903	30	30
0.0119311	30	30
0.0118503	30	30
0.0124841	30	30
0.0119447	30	30
0.0119485	30	30
0.011894	30	30
0.0129082	30	30
0.0120683	30	30
0.0118977	30	30
0.0118651	30	30
0.0125289	30	30
0.0119626	30	30
0.0117949	30	30
0.0119314	30	30
0.012559	30	30
0.0120366	30	30
0.0119416	30	30
0.0118922	30	30
0.0126391	30	30
0.0123347	30	30
0.0119887	30	30
0.0119369	30	30
0.0126842	30	30
0.0120577	30	30
0.0121187	30	30
0.0119586	30	30
0.0126884	30	30
0.0120523	30	30
0.0121543	30	30
0.0119175	30
number of tracks: 50
0.0127378	30	30
0.0120392	30	30
0.0120599	30	30
0.012045	30	30
0.0124421	30	30
0.0119787	30	30
0.0120521	30	30
0.0120933	30	30
0.0127504	30	30
0.0120644	30	30
0.0119804	30	30
0.0118163	30	30
0.0118545	30	30
0.0118453	30	30
0.0118404	30	30
0.0118917	30	30
0.0124699	30	30
0.011939	30	30
0.0120868	30	30
0.0125439	30	30
0.0120848	30	30
0.0120944	30	30
0.0121415	30	30
0.0121935	30	30
0.0126631	30	30
0.0127818	30	30
0.0121667	30	30
0.0127043	30	30
0.0121942	30	30
0.0121845	30	30
0.0120978	30	30
0.012098	30	30
0.0126671	30	30
0.0126982	30	30
0.0126027	30	30
0.0124007	30	30
0.0122398	30	30
0.0121201	30	30
0.0122265	30	30
0.0122591	30	30
0.012307	30	30
0.012253	30	30
0.0122491	30	30
0.0122287	30	30
0.0123197	30	30
0.0122322	30	30
0.0128303	30	30
0.0128461	30	30
0.0122892	30	29
0.0123432	30
number of tracks: 50
0.0123479	30	30
0.0123036	30	30
0.0123477	30	30
0.0122954	30	30
0.0124696	30	30
0.0128042	30	30
0.012272	30	30
0.0122417	30	30
0.0122582	30	30
0.0122685	30	30
0.0124022	30	30
0.0122749	30	30
0.0123984	30	30
0.0128399	30	30
0.0128607	30	30
0.0127644	30	30
0.0124107	30	30
0.012335	30	30
0.0123573	30	30
0.0123544	30	30
0.0124438	30	30
0.0128333	30	30
0.0128737	30	30
0.0128806	30	30
0.0123144	30	30
0.0125116	30	30
0.0123148	30	30
0.0123586	30	30
0.0123777	30	30
