[INFO] SURF on CUDA
	23
0.072486	26	23
0.0674633	26	23
0.0637109	29	23
0.0611216	27	23
0.0611194	27	23
0.056939	28	23
0.0567557	27	23
0.0568073	27	23
0.0569931	30	23
0.0572806	30	23
0.0574647	33	23
0.0571024	32	23
0.0586246	30	23
0.0568409	29	23
0.0569805	29	23
0.0568917	28	23
0.0569428	26	23
0.0572171	27	23
0.0580435	29	23
0.0567376	28	23
0.0577463	29	23
0.0571752	30	23
0.0570427	29	23
0.0593428	29	23
0.0569501	27	23
0.0570416	33	23
0.0568901	33	23
0.0570012	31	23
0.0570569	31	23
0.0573024	25	23
0.0565006	25	23
0.0565251	29	23
0.0569756	26	23
0.0572477	26	23
0.0569764	23	23
0.057583	29	23
0.0568419	28	23
0.0567096	26	23
0.0571869	29	23
0.0570006	25	23
0.0565969	32	23
0.0570811	30	23
0.0586439	30	23
0.0567954	29	23
0.0578517	29	23
0.0567681	30	23
0.0569739	30	23
0.0585406	32	23
0.0566034	32
number of tracks: 50
0.0582068	30	30
0.0566735	29	30
0.0570715	33	30
0.0572948	34	30
0.056762	31	30
0.0579032	36	30
0.0567589	37	30
0.056955	35	30
0.0573223	32	30
0.0569021	30	30
0.056956	26	30
0.0565756	28	30
0.0571318	29	30
0.056664	27	30
0.0569508	29	30
0.0568558	28	30
0.056762	32	30
0.0575447	29	30
0.0586576	27	30
0.0567272	29	30
0.0578124	36	30
0.0571336	36	30
0.0569497	35	30
0.0568946	37	30
0.0569201	31	30
0.0567547	31	30
0.0570027	31	30
0.0567539	30	30
0.0569027	33	30
0.0567464	32	30
0.0571845	30	30
0.056533	29	30
0.0569968	29	30
0.056693	29	30
0.0569857	26	30
0.0567864	31	30
0.0566491	26	30
0.0567745	24	30
0.0566876	24	30
0.0574292	26	30
0.056587	22	30
0.056916	22	30
0.0566714	22	30
0.0568957	21	30
0.0571684	23	29
0.0566663	22	28
0.0567902	28	26
0.0575603	29	24
0.0566508	23	23
0.0571718	26
number of tracks: 50
0.0570577	26	26
0.0567135	30	26
0.0567932	27	26
0.0569108	29	26
0.0566616	26	26
0.0569016	27	26
0.0565114	25	26
0.056822	29	26
0.0570884	27	26
0.0566306	26	26
0.0572561	25	26
0.0567225	29	26
0.0573116	29	26
0.0569299	33	26
0.0568302	34	26
0.0573339	31	26
0.0568859	33	26
0.0564482	34	26
0.0571203	37	26
0.0567489	34	26
0.0575009	23	26
0.0569211	23	26
0.0569455	24	26
0.0567203	29	26
0.0565791	27	26
0.0566577	25	26
0.0568009	26	26
0.057054	27	26
0.0567491	31	26
0.0568618	30	26
0.0566964	31	26
0.0569859	27	26
0.0566789	34	26
0.0634449	31	26
0.05725	35	26
0.0571157	35	26
0.0573713	34	26
0.0574284	35	26
0.0571337	36	26
0.0574416	36	26
0.0569066	34	26
0.0569649	35	26
0.0570367	36	26
0.0572965	33	26
0.0576021	39	26
0.0572772	35	26
0.0572452	36	26
0.0569991	39	26
0.057276	37	26
0.057064	36
number of tracks: 50
0.0573764	29	29
0.0573913	26	29
0.0570522	28	29
0.0572793	30	29
0.0572025	30	29
0.0573392	30	29
0.0573231	28	29
0.0573992	30	29
0.0570405	33	29
0.0576944	30	29
0.0570229	35	29
0.0571592	31	29
0.0575617	34	29
0.0574366	34	29
0.0570306	34	29
0.0576182	33	29
0.0571607	40	29
0.0574894	39	29
0.0571417	41	29
0.057612	35	29
0.0570517	38	29
0.057418	39	29
0.0575389	38	29
0.0571659	39	29
0.0574268	38	29
0.057473	34	29
0.0570056	41	29
0.057984	35	29
0.057274	35	29
0.0573539	32	29
0.0571787	30	28
0.0575195	30	27
0.0570399	32	26
0.0573837	32	25
0.0573096	33	24
0.0574438	33	23
0.0573876	32	22
0.0574538	38	21
0.0571274	37	20
0.0571672	35	19
0.0570855	38	18
0.0572567	35	17
0.0574635	37	16
0.0573538	37	15
0.0574009	38	14
0.0580755	39	13
0.0573555	38	12
0.0573788	36	11
0.0573863	38	11
0.057185	38
number of tracks: 50
0.0571337	37	37
0.0572662	38	37
0.0571706	35	37
0.0572025	36	37
0.0575564	33	37
0.0571208	36	37
0.0572339	35	37
0.0571081	38	37
0.05744	34	37
0.0569815	37	37
0.0572103	31	37
0.0572042	31	37
0.0572621	30	37
0.0572866	32	37
0.0572177	30	37
0.0572502	34	37
0.056959	32	37
0.0578957	31	37
0.0571679	31	37
0.0571387	35	37
0.0585964	35	37
0.0571232	39	37
0.0575339	38	37
0.0571438	35	37
0.0571931	35	37
0.0575681	32	37
0.0572223	33	37
0.0578577	35	37
0.057335	32	37
0.0574325	34	37
0.0571965	35	37
0.0571217	38	37
0.0574179	34	37
0.0569984	41	37
0.0569761	37	37
0.0570924	39	37
0.0570324	38	37
0.0571757	34	37
0.0574074	36	37
0.0571754	38	37
0.0571986	33	37
0.0580551	32	37
0.0569545	33	37
0.0572925	36	37
0.057017	32	37
0.0572844	34	37
0.0573845	35	37
0.0573438	35	37
0.0569919	33	37
0.058406	38
number of tracks: 50
0.0575282	36	36
0.0574616	35	36
0.0574273	36	36
0.0574925	37	36
0.0571811	37	36
0.057123	37	36
0.0571564	35	36
0.0575404	34	36
0.0574739	39	36
0.0571938	41	36
0.0577456	39	36
0.0571265	42	36
0.0574364	40	36
0.0579941	37	36
0.0570004	36	36
0.0574048	34	36
0.0572182	37	36
0.057171	34	36
0.0573395	37	36
0.057154	36	36
0.0571506	30	36
0.057843	31	36
0.0570502	31	36
0.0570169	34	36
0.0572626	37	36
0.0568507	31	36
0.0574557	25	36
0.0571102	31	36
0.0573116	31	36
0.0572542	32	36
0.0571998	35	36
0.0570092	36	36
0.0569944	36	36
0.0569088	32	36
0.0573666	32	36
0.0569713	36	36
0.0574758	44	36
0.0575116	38	36
0.0572043	40	36
0.0576858	44	36
0.0572306	43	36
0.0575227	44	36
0.0572612	43	36
0.0570326	47	36
0.0574573	44	36
0.0570241	43	36
0.0574887	43	36
0.0574141	44	36
0.0570246	43	36
0.0575973	39
number of tracks: 50
0.0571269	36	36
0.0571423	36	36
0.0572592	34	36
0.0573663	36	36
0.05719	38	36
0.0572177	39	36
0.0577722	41	36
0.0571639	37	36
0.0572682	39	36
0.0574234	41	36
0.0570946	41	36
0.0578269	42	36
0.0573416	45	36
0.0571129	38	36
0.057158	39	36
0.0572672	44	36
0.0570634	47	36
0.0572115	45	36
0.0570084	42	36
0.0572871	44	36
0.0574555	48	36
0.0573369	45	36
0.0571094	45	36
0.0573851	44	36
0.0572595	40	36
0.0572799	41	36
0.056858	42	36
0.0583901	46	36
0.0572719	46	36
0.0572263	45	36
0.0570585	40	36
0.0571042	39	36
0.0569445	38	36
0.0569755	36	36
0.0569411	39	36
0.0572843	43	36
0.0570525	41	36
0.0582616	41	36
0.0573976	43	36
0.0577172	45	36
0.0587661	45	36
0.0572872	46
