[INFO] ORB on OpenCL
	30
0.129861	30	30
0.131911	30	30
0.164412	30	30
0.13097	30	30
0.110168	30	30
0.124309	30	30
0.125695	30	30
0.141393	30	30
0.127931	30	30
0.131683	30	30
0.12513	30	30
0.131562	30	30
0.133986	30	30
0.128852	30	30
0.132201	30	30
0.123026	30	30
0.117955	30	30
0.119687	30	30
0.120682	30	30
0.118977	30	30
0.116162	30	30
0.124812	30	30
0.120315	30	30
0.118441	30	30
0.119879	30	30
0.119056	30	30
0.113945	30	30
0.125324	30	30
0.124526	30	30
0.120775	30	30
0.124024	30	30
0.127375	30	30
0.114056	30	30
0.122998	30	30
0.117362	30	30
0.111828	30	30
0.116798	30	30
0.116617	30	28
0.115904	30	26
0.122638	30	23
0.117061	30	20
0.11838	30	17
0.114529	30	14
0.118223	30	11
0.128138	30	8
0.116651	30	5
0.11781	30	2
0.13325	30	1
0.125749	30
number of tracks: 50
0.118888	30	30
0.111813	30	30
0.109161	30	30
0.120924	30	30
0.116966	30	30
0.112598	30	30
0.118594	30	30
0.122752	30	30
0.115578	30	30
0.118429	30	30
0.116974	30	30
0.111551	30	30
0.114826	30	30
0.118898	30	30
0.118021	30	30
0.11602	30	30
0.119523	30	30
0.123845	30	30
0.116365	30	30
0.122948	30	30
0.127372	30	30
0.109518	30	30
0.119215	30	30
0.116836	30	30
0.113443	30	30
0.113545	30	30
0.113163	30	30
0.126991	30	30
0.119701	30	30
0.125935	30	30
0.113935	30	30
0.108305	30	30
0.117972	30	30
0.114795	30	29
0.112192	30	28
0.116257	30	27
0.117802	30	26
0.124283	30	25
0.115455	30	24
0.116876	30	23
0.108525	30	22
0.112661	30	21
0.118788	30	20
0.112848	30	19
0.118767	30	18
0.118509	30	17
0.124169	30	15
0.121345	30	13
0.120175	30	11
0.122682	30
number of tracks: 50
0.125164	30	30
0.118372	30	30
0.118047	30	30
0.115741	30	30
0.108248	30	30
0.115718	30	30
0.115088	30	30
0.120374	30	30
0.120148	30	30
0.120018	30	30
0.115873	30	30
0.122475	30	30
0.119786	30	30
0.119332	30	30
0.119565	30	30
0.118889	30	30
0.11988	30	30
0.112709	30	30
0.108456	30	30
0.116754	30	30
0.127389	30	30
0.122526	30	28
0.114981	30	24
0.118217	30	20
0.119281	30	16
0.12287	30	12
0.115745	30	8
0.107053	30	4
0.125761	30	1
0.117676	30	1
0.11825	30	1
0.120579	30	1
0.111862	30	1
0.111505	30	1
0.118844	30	1
0.118506	30	1
0.122697	30	1
0.120451	30	1
0.123236	30	1
0.11866	30	1
0.129167	30	1
0.122473	30	1
0.12161	30	1
0.118798	30	1
0.121986	30	1
0.115898	30	1
0.11779	30	1
0.133838	30	1
0.124649	30	1
0.122443	30
number of tracks: 50
0.124594	30	30
0.125923	30	30
0.118469	30	30
0.120546	30	30
0.119361	30	30
0.120014	30	30
0.122371	30	30
0.122827	30	30
0.125695	30	30
0.12719	30	30
0.116464	30	30
0.117903	30	30
0.12066	30	30
0.1252	30	30
0.124115	30	30
0.125008	30	30
0.120246	30	30
0.119123	30	30
0.120287	30	30
0.118342	30	30
0.119177	30	30
0.131797	30	30
0.121705	30	30
0.122142	30	30
0.119631	30	30
0.1131	30	30
0.121215	30	29
0.119835	30	27
0.125336	30	24
0.127252	30	21
0.127173	30	17
0.121624	30	13
0.1241	30	9
0.125072	30	4
0.119816	30	1
0.123993	30	0
0.127426	30	0
0.117489	30	0
0.118018	30	0
0.114467	30	0
0.113952	30	0
0.114571	30	0
0.115531	30	0
0.127798	30	0
0.115559	30	0
0.12092	30	0
0.117119	30	0
0.121195	30	0
0.119125	30	0
0.120945	30
number of tracks: 50
0.119732	30	30
0.12484	30	30
0.11671	30	30
0.117919	30	30
0.113821	30	30
0.127014	30	30
0.140602	30	30
0.136681	30	30
0.129511	30	30
0.118987	30	30
0.134221	30	30
0.123588	30	30
0.124262	30	30
0.127426	30	30
0.142351	30	30
0.137093	30	30
0.120381	30	30
0.123827	30	30
0.125819	30	30
0.122896	30	30
0.122001	30	28
0.126998	30	26
0.125043	30	24
0.129197	30	22
0.132698	30	20
0.129504	30	17
0.121886	30	13
0.123446	30	9
0.121651	30	5
0.123599	30	2
0.125929	30	1
0.111472	30	0
0.125529	30	0
0.121489	30	0
0.121991	30	0
0.129597	30	0
0.131344	30	0
0.13299	30	0
0.128018	30	0
0.139241	30	0
0.132791	30	0
0.123198	30	0
0.12964	30	0
0.123887	30	0
0.127362	30	0
0.11203	30	0
0.121182	30	0
0.120294	30	0
0.123524	30	0
0.127701	30
number of tracks: 50
0.119122	30	30
0.122943	30	30
0.12206	30	30
0.121452	30	30
0.120002	30	30
0.12767	30	30
0.126952	30	30
0.135182	30	30
0.120085	30	30
0.120127	30	30
