[INFO] SURF on OpenCL
	26
0.0639721	29	26
0.0606034	29	26
0.0597922	33	26
0.0571775	29	26
0.0570941	29	26
0.0514082	30	26
0.05274	31	26
0.0522435	30	26
0.0520033	32	26
0.0539605	32	26
0.0530932	36	26
0.0522572	34	26
0.0526576	32	26
0.0532597	32	26
0.0532027	30	26
0.0524974	30	26
0.0522297	28	26
0.0513704	28	26
0.0532876	31	26
0.0525878	31	26
0.0531529	32	26
0.0532718	33	26
0.052226	32	26
0.052386	33	26
0.0523135	29	26
0.0524986	35	26
0.053397	36	26
0.0534235	32	26
0.0509479	32	26
0.0513083	28	26
0.0529102	27	26
0.0528744	33	26
0.0513658	30	26
0.0533035	28	26
0.0528045	25	26
0.0510468	32	26
0.0536919	30	26
0.0512829	27	26
0.0514753	31	26
0.052483	27	26
0.0511136	34	26
0.0517296	31	26
0.05326	32	26
0.0509451	31	26
0.0527589	32	26
0.0515457	32	26
0.0510849	32	26
0.0525794	34	26
0.0522461	35
number of tracks: 50
0.0508775	32	32
0.0532559	31	32
0.0543402	34	32
0.053612	36	32
0.0525246	33	32
0.0525341	39	32
0.0528781	40	32
0.05129	37	32
0.0537064	35	32
0.0544914	32	32
0.0520586	28	32
0.0515055	30	32
0.0556699	31	32
0.0518533	30	32
0.0526988	32	32
0.0510163	30	32
0.0530862	34	32
0.0512357	31	32
0.0527668	28	32
0.0535083	30	32
0.0528846	38	32
0.0520919	38	32
0.0531397	36	32
0.0513875	41	32
0.0541258	33	32
0.0525846	32	32
0.0516543	31	32
0.0536646	31	32
0.0529138	36	32
0.0513299	32	32
0.0532821	31	32
0.0525444	31	32
0.0516658	31	32
0.0522917	30	32
0.0532702	28	32
0.0513727	33	32
0.0533401	28	32
0.0523097	26	32
0.0528881	26	32
0.0520805	28	32
0.0531876	24	32
0.0522205	22	32
0.0526736	22	32
0.0527784	21	32
0.0510061	23	31
0.0528927	23	30
0.0531027	29	28
0.0515666	30	26
0.0538634	24	24
0.0532948	27
number of tracks: 50
0.0514336	26	26
0.0523412	30	26
0.052089	27	26
0.0503316	29	26
0.0525104	26	26
0.0533418	27	26
0.0508129	25	26
0.0529681	29	26
0.0532003	27	26
0.0524294	26	26
0.0517649	25	26
0.052079	29	26
0.0519757	29	26
0.0522432	33	26
0.0523221	34	26
0.0511503	31	26
0.052346	33	26
0.0506333	34	26
0.0529358	37	26
0.052201	34	26
0.0522559	23	26
0.0517642	23	26
0.0516681	24	26
0.0505743	29	26
0.052787	27	26
0.05191	25	26
0.0545333	26	26
0.0541773	27	26
0.0553566	31	26
0.0530186	30	26
0.052615	31	26
0.0520535	27	26
0.0524997	34	26
0.0524467	31	26
0.0529171	35	26
0.050593	35	26
0.0530136	34	26
0.0522105	35	26
0.0526897	36	26
0.0518335	36	26
0.0521248	34	26
0.0524991	35	26
0.0517884	36	26
0.0522377	33	26
0.0521736	39	26
0.0519496	35	26
0.0524775	36	26
0.0507208	39	26
0.0527557	37	26
0.052533	36
number of tracks: 50
0.0533954	29	29
0.0538232	26	29
0.0526329	28	29
0.0532423	30	29
0.0521716	30	29
0.0530568	30	29
0.0530612	28	29
0.051807	30	29
0.0523857	33	29
0.0520449	30	29
0.0519741	35	29
0.0523069	31	29
0.0528548	34	29
0.0522816	34	29
0.0524461	34	29
